位置,次数
御金沙 ,80
越秀星汇云城 ,54
富力桃园 ,54
城西花园 ,34
金域蓝湾 ,25
岭南新世界 ,24
景泰新村 ,21
家和东湖映月 ,17
富力半岛 ,15
金碧新城 ,15
汇侨新城北区 ,14
锦翠苑(金钟横路) ,12
利都大厦 ,12
广园云苑新村 ,12
盈富居 ,11
紫薇花园 ,11
云裳丽影 ,9
祥景花园雍翠园 ,9
汇侨新城南区 ,9
金湖雅苑 ,9
瑞晖花园 ,8
星汇金沙雅筑 ,8
新市花园一区 ,8
金碧雅苑 ,7
增槎路 ,7
黄石花园 ,7
梅苑小区 ,7
保利汇海花园 ,6
保利西子湾 ,6
远景新苑 ,6
金满花园 ,6
云东小区 ,6
金满家园 ,5
云山诗意 ,5
紫荆花园 ,5
春鸿居 ,5
恒大绿洲花园 ,5
美景苑 ,5
翠福居 ,5
白云家园 ,5
南洋电器厂宿舍 ,5
新兴白云花园 ,5
乐得花园 ,5
祥景花园AC区 ,5
富力城北区 ,5
白云明珠广场 ,5
交电新村 ,5
时代玫瑰园 ,5
白云高尔夫花园东区 ,5
大源山庄 ,5
保利江岸花园 ,5
保利紫云 ,5
白云高尔夫花园荷塘月色 ,4
南航新村 ,4
民航小区南云西街 ,4
岭南新世界映悦园 ,4
白云骏景 ,4
一品湖山 ,4
建南大厦 ,4
岭南雅院 ,4
云景花园云景名都 ,4
白云畔山花园 ,4
龙湖招商・天 ,4
飞鹅西路 ,4
田心花园 ,4
松溪花园 ,4
康盈阁 ,4
积德花园 ,4
富力阳光美居 ,4
荔苑公寓 ,4
合益小区 ,4
广园中路 ,4
水警宿舍 ,3
华园北路华园北街 ,3
榕溪花园 ,3
顺景花园 ,3
馨雅居 ,3
广播设备厂宿舍 ,3
依云小镇 ,3
松南路 ,3
颐和上院一期 ,3
朗骏苑 ,3
江南世家 ,3
云山熹景 ,3
警察学院家属区 ,3
同德花园同景苑 ,3
康雅花园 ,3
金泉山庄 ,3
万科蓝山 ,3
民航小区康寿街 ,3
云西小区 ,3
阳光花园 ,3
合一国际 ,3
银苑大厦(白云) ,3
恒大御府 ,3
云山锦绣家园 ,3
广信春兰花园 ,3
元邦航空家园 ,3
华兴苑 ,3
合益街31号大院 ,3
岗贝路101号-123号宿舍(单号) ,3
明月金岸花园 ,3
云涛花园 ,2
丝绸大厦 ,2
旧云东小区 ,2
富力碧涛湾 ,2
京溪尚苑 ,2
景泰名苑 ,2
上步花园 ,2
保利春天里 ,2
盈翠华庭 ,2
侨德花园 ,2
深业金翠湾 ,2
嘉福楼 ,2
利海绿洲花园 ,2
梅宾东宿舍 ,2
嘉德苑 ,2
新世界嘉云府 ,2
南湖半山东苑 ,2
同沙路 ,2
同德花园同雅苑 ,2
宏航苑 ,2
黄石小区 ,2
中海金沙馨园一期 ,2
骏御华庭 ,2
万科爱地住宅区 ,2
华宇苑 ,2
星汇晴轩 ,2
华德大厦 ,2
圣雅堡 ,2
百荣园 ,2
时代天朗花园 ,2
富力城南区 ,2
汇美苑 ,2
紫来居 ,2
怡富尚苑 ,2
惠泽雅轩 ,1
保利珑熙 ,1
广信白兰花园 ,1
万科云山花园 ,1
民航小区向云西街 ,1
云景花园云桦苑 ,1
云东花园 ,1
云山居 ,1
万科o境 ,1
枫溪苑 ,1
松云雅苑 ,1
白云高尔夫花园西区 ,1
岗贝路海棠居 ,1
嘉景园 ,1
中海金沙馨园二期西区 ,1
贝丽花园 ,1
怡新花园 ,1
京华雅居 ,1
嘉利苑 ,1
汇祥苑 ,1
万方园 ,1
保利金沙大都汇 ,1
静心林语园 ,1
汇雅花园 ,1
云泉居 ,1
绿地时代云都汇 ,1
汇侨新苑 ,1
广州市司法学校黄边校区 ,1
佳兆业天墅 ,1
南湖半岛花园 ,1
建发央玺 ,1
腾龙阁 ,1
佳兆业天御 ,1
大城云山 ,108
华标荔苑 ,46
紫泉翠荔嘉园 ,40
时代印象 ,39
珠江国际城 ,32
人盛巴厘天地 ,32
富力泉天下 ,26
智汇国际 ,25
上雅君庭 ,24
新光百德广场 ,23
雅居乐小院流溪 ,22
荔林春晓 ,17
逸泉山庄 ,17
珠光御景山水城 ,11
东方夏湾拿 ,9
碧桂园荔山雅筑 ,8
紫泉流溪湾 ,6
珠光流溪御景 ,5
珠光山水御苑 ,5
雅居乐滨江花园 ,5
时代幸汇 ,5
七星路 ,4
逸泉映翠 ,4
雅居乐滨江雅苑 ,3
荔枝花园 ,3
从化怡景楼 ,3
银农楼 ,3
托斯卡纳(从化区) ,2
上城湾畔B区 ,2
西宁中路 ,2
碧桂园御湖城二期 ,2
回归路小区 ,2
莱茵水岸 ,2
方圆明月山溪 ,2
星汇峰 ,2
鸿运楼 ,2
东成路 ,2
骏逸湖畔花苑 ,2
镇北路 ,1
新村北路 ,1
宏业楼 ,1
雍晟美景家园 ,1
河滨北路 ,1
龙井村 ,1
欣荣宏国际商贸城 ,1
玫瑰@ ,1
雍禾苑 ,1
建云东路 ,1
丰盈雅居 ,1
碧桂园从化1960 ,1
星河绿洲 ,1
侨宏花园 ,1
凤仪西路 ,1
御景宏雅花园 ,1
中田北路 ,1
城内路 ,1
爱尚流溪 ,1
彩虹苑 ,1
名城御景绿洲 ,1
新平路 ,1
太平花园 ,1
金碧花园第一金碧 ,22
第二金碧花园 ,15
滨江东路(海珠) ,14
江南西路 ,13
第三金碧花园 ,12
晓港湾 ,11
晓港中马路 ,10
纺织路(海珠) ,10
江南大道中 ,9
前进路(海珠) ,9
聚龙花园 ,9
万科金域华庭 ,9
逸景翠园 ,9
荔福路 ,9
富基广场A区 ,8
同福西路 ,8
华保花园 ,8
昌岗东路 ,7
万寿路 ,7
保利红棉花园 ,6
洪德路 ,6
五一新村 ,6
星汇湾花园 ,6
海城花苑 ,6
保利丰花园 ,6
翠城花园 ,6
洪德雅苑 ,5
侨诚花园 ,5
南华东路 ,5
沙园 ,5
大江苑夏沙巷 ,5
滨江西路 ,5
晓港西马路 ,5
同福中路 ,5
海印南苑 ,4
海悦大厦 ,4
海外花园 ,4
雅景苑 ,4
侨诚花园宝通街 ,4
同福东路 ,4
工业大道北 ,4
建基路 ,3
昌岗中路 ,3
电子七所大院 ,3
珠江广场 ,3
南华西路 ,3
雅致花园 ,3
富基广场B区 ,3
晓燕湾 ,3
福雅居 ,3
滨江1933 ,3
南村路 ,3
素社新村 ,3
富力千禧花园 ,3
金雅苑 ,3
泰沙路 ,3
金汇花园 ,3
乐居苑 ,3
南丽苑 ,3
南田路 ,3
瑞康大厦 ,3
凤凰新村 ,3
宏宇广场 ,3
保利花园 ,3
润汇大厦 ,3
海意名苑 ,3
嘉鸿花园 ,3
双子星城 ,3
梅园阁 ,2
凤阳小区 ,2
浪琴居 ,2
保利百合花园二期 ,2
嘉丽苑 ,2
江燕花园 ,2
怡乐路13号大院 ,2
新城国际 ,2
聚宝阁 ,2
金融街融御 ,2
凤安花园 ,2
雅郡花园 ,2
海韵轩 ,2
滨江瑞城 ,2
南洲名苑 ,2
江南美景花园 ,2
金影花园 ,2
梅园南路 ,2
小港路 ,2
邦泰公馆 ,2
金丰花园 ,2
同庆路 ,2
丽景花苑 ,2
天汇大厦 ,2
宝岗大道 ,2
富泽园 ,2
海富花园 ,2
广东教育学院 ,2
新港西路99号大院 ,2
南北广场 ,2
南景园 ,2
英豪花园 ,2
嘉仕花园东区 ,2
东翠花园 ,2
中旅侨苑 ,2
怡乐路 ,2
珠江帝景苑 ,2
光大花园水岸榕城 ,2
自由心岸 ,2
穗花新村 ,2
光大花园 ,2
保利百合花园 ,2
怡安花园 ,2
建基路电信大厦 ,2
润南花园 ,2
金满楼(海珠区) ,2
怡雅苑(海珠) ,1
广东轻工学院宿舍 ,1
海天花苑 ,1
光大花园中海锦榕湾 ,1
荔福花园 ,1
珠光高派华庭 ,1
纵横公寓 ,1
合生颐景华苑 ,1
怡雅居 ,1
经典居 ,1
中信乐涛苑 ,1
金星花园 ,1
港务局宿舍 ,1
鸣翠花园 ,1
翠馨华庭 ,1
叠彩园 ,1
远洋宿舍（晓港） ,1
广纸小区 ,1
花城湾畔 ,1
荔福小区 ,1
朗晴居二期 ,1
富力顺意花园 ,1
坚真花园 ,1
杏坛小区 ,1
沙园路(海珠) ,1
会展西岸 ,1
江南新苑 ,1
锦丽居 ,1
橡胶新村102号大院 ,1
东晓大厦 ,1
南翠苑 ,1
南方花园 ,1
电器研究所 ,1
康怡花苑 ,1
可逸家园 ,1
荔海鸣蝉花园 ,1
雅居乐海珠小雅 ,1
聚德花苑 ,1
军休五所家属院 ,1
赤岗三街2至28号小区 ,1
海珠半岛花园 ,1
礼岗路 ,1
敦和花园 ,1
粤信广场阳光公寓 ,1
顺景雅苑 ,1
富景花园 ,1
缝纫机厂宿舍 ,1
海琴湾宜利苑 ,1
丽海雅居 ,1
梅园西路 ,1
光大花园榕城尚品公寓 ,1
赤岗路 ,1
悦龙阁 ,1
海景阁 ,1
仲恺路 ,1
奇星药厂宿舍 ,1
新港中路 ,1
富力金禧花园 ,1
江南嘉居 ,1
丰盈居 ,1
碧海大厦 ,1
革新路 ,1
燕子岗路 ,1
南边路(海珠区) ,1
星御翠园 ,1
逸翠居 ,1
工业大道中福南新街 ,1
同乐大厦 ,1
石岗路34号大院 ,1
翠怡小区 ,1
细岗路 ,1
晓园新村晓园新 ,1
赤岗二街1号大院 ,1
晓园新村晓园东 ,1
南华花园 ,1
汇龙居 ,1
昌盛小区 ,1
怡龙大厦 ,1
米兰苑 ,1
海珠花园窝趣公寓 ,1
晓港东三马路 ,1
橡胶新村远洋宿舍 ,1
广船宿舍 ,1
新港西路 ,1
蓝色快线 ,1
滨江中路 ,1
豪丰园 ,1
南村水产大院 ,1
自由人花园 ,22
天马丽苑二期 ,19
雪域澜庭A1区 ,16
班芙小镇 ,16
时代城 ,12
富力金港城东区 ,12
花城路 ,10
绿地空港国际中心 ,9
祈福天龙苑 ,9
雅居乐锦城花漾集 ,9
豪利花园 ,9
雅居乐花城雅郡 ,8
名门国际 ,8
祈福万景峰 ,8
建设北路 ,8
保利城 ,7
云峰学府花园 ,7
云峰花园 ,7
越秀臻悦府 ,7
富丽花园 ,6
学府南苑 ,6
峰境园 ,6
保利悦廷 ,6
金联市场 ,6
凯旋国际 ,5
中建・映花悦府 ,5
雪域澜庭A2区 ,5
福宁路 ,5
花都颐和山庄 ,5
东方文德森岛湖 ,4
颐和盛世 ,4
致岭假日花园 ,4
万科天景花园 ,4
宝铼雅居 ,4
荔园悦享花醍 ,4
绿地新里缇香公馆 ,4
中新花园 ,4
祈福辉煌台 ,4
豪利幸福里 ,4
富力金港城南区 ,4
广州融创文旅城B1区 ,4
富庄庭 ,3
风神花园 ,3
祈福生活无限 ,3
雅居乐雍华廷二期 ,3
碧泰豪苑 ,3
岭南公馆 ,3
豪骏名苑 ,3
智烨山水豪庭 ,3
湖畔花园 ,3
雅居乐・岭会 ,3
南航碧花园D区 ,3
雅居乐万科热橙 ,3
芷兰苑 ,3
金花园小区 ,3
勤天安合商务大厦 ,3
万虹花园 ,3
碧桂园星港国际 ,3
家和逸品苑 ,3
粮食局小区 ,3
商业大道 ,3
青云楼 ,3
新中路 ,3
嘉汇城一期 ,3
双赢如家公寓 ,3
逸泉韵翠花园 ,3
华南苑 ,2
文苑小区 ,2
骏威锦东花园C区 ,2
东晖名苑 ,2
美力花园 ,2
公园前9号小区 ,2
花城苑 ,2
雅居乐雍逸豪庭 ,2
华景雅苑德维轩 ,2
华侨花园 ,2
工会大厦 ,2
松园大厦(花都区) ,2
东骏花园 ,2
天马河壹号 ,2
中房观湖国际 ,2
小城之春雅居 ,2
云珠花园 ,2
福虹阳光美地 ,2
新鸿基御华园 ,2
紫薇丽都 ,2
建设路(花都区) ,2
芙蓉春晓 ,2
万科兰乔圣菲 ,2
雅居乐汇通广场 ,2
广州融创文旅城商务公寓 ,2
新华路 ,2
云山大道 ,2
桐悦花园 ,2
花城美汇 ,2
花城悦翠园 ,2
中建天骄 ,2
桃源盛世名苑 ,2
花都站前路 ,2
裕兴新村 ,2
公园前路 ,2
富雅西苑小区 ,2
天贵雅苑D区 ,2
金河湾花园一期 ,2
美雅苑 ,2
美林轩逸时光 ,2
合和新城 ,2
俊怡御景花园 ,2
雅居乐雍华廷一期 ,2
凤凰御景 ,2
天马河壹号一期 ,2
五洲花园 ,2
雅宝新城 ,2
顺景楼(花城路) ,2
来福花园 ,1
银雅华庭 ,1
凤华路13号 ,1
新花苑小区 ,1
红珠路 ,1
益登华庭 ,1
深航御花园 ,1
新都园 ,1
钻石豪庭 ,1
融创雪域华庭 ,1
荣威楼 ,1
豪逸名苑 ,1
天贵雅苑A区 ,1
在水一方 ,1
卓粤卓雅名苑 ,1
永大新城 ,1
尚品雅居山语 ,1
越秀臻裕府 ,1
嘉都汇 ,1
祈福聚龙堡 ,1
狮峰公馆 ,1
逸贤苑 ,1
秀全大道 ,1
融创天h ,1
金地商置o华 ,1
金碧御水山庄 ,1
勤天一品树院 ,1
嘉华世家 ,1
永星景苑 ,1
凤华路 ,1
秀全苑 ,1
怡翠苑 ,1
新晖朗悦居 ,1
骏辉雅苑 ,1
嘉爵园 ,1
清狮花园 ,1
凯旋大厦 ,1
富都楼 ,1
好美嘉园 ,1
嘉华广场 ,1
友田大厦 ,1
炭步楼 ,1
馨泉花园 ,1
广晟中铁建花语天A ,1
阳光城兰园翡丽湾 ,1
粤富花园 ,1
新景豪苑 ,1
倚湖居 ,1
海怡阁 ,1
日昌豪苑 ,1
路劲隽悦豪庭一期 ,1
百业广场 ,1
金都花园 ,1
荣华楼 ,1
永福大厦 ,1
侨苑小区(花都区) ,1
马鞍山一号 ,1
远洋芙蓉墅 ,1
怡康花园(花都) ,1
京仕广场 ,1
广州融创文旅城B3区 ,1
时代云港 ,1
凯旋门 ,1
大城云山 ,99
竹丝岗大马路 ,24
华标荔苑 ,16
智汇国际 ,8
时代印象 ,7
农林下路 ,6
梅花村 ,6
万科金色家园 ,5
城西花园 ,5
荔林春晓 ,5
东华东路 ,5
锦绣新天地 ,4
上雅君庭 ,4
天马丽苑二期 ,4
纺织路(海珠) ,4
聚龙花园 ,4
竹丝岗二马路39号大院 ,3
东川路 ,3
中海誉城北苑 ,3
越秀岭南山畔 ,3
富力金港城东区 ,3
海外花园 ,3
环市东路 ,3
福今北 ,3
万福路 ,3
富力环市西苑 ,3
保利百合花园二期 ,2
庄士映蝶蓝湾 ,2
豪骏名苑 ,2
珠光山水御苑 ,2
华侨城(番禺) ,2
梅园阁 ,2
东风东路754号之一大院 ,2
文德路 ,2
大德路 ,2
中山二路 ,2
竹丝岗二马路 ,2
泰沙路 ,2
御金沙 ,2
东湖铭泰公馆 ,2
江南西路 ,2
岐山中路 ,2
华润置地・瑞府 ,2
东方花园3区 ,2
嘉丽苑 ,2
力迅商务大厦 ,2
福景园 ,2
招商雍景湾北区 ,2
珠江铂世湾 ,2
雅居乐雍华廷二期 ,2
建设二马路 ,2
锦绣花园南区 ,2
珠江嘉园 ,2
顺欣花园 ,2
锦绣半岛西区 ,2
祈福新村天湖居 ,2
百合苑B区 ,2
鸿图苑 ,2
倚莲半岛花园 ,2
小北路 ,2
电子五所宿舍 ,2
天成居 ,2
金燕花苑 ,2
凯德山海连城二期 ,2
白云家园 ,2
环市西路 ,2
海力花园 ,2
新城市宜家 ,2
电视台小区 ,2
盈富居 ,2
绿地珑h府 ,2
观海美寓 ,2
春鸿居 ,2
怡乐路13号大院 ,2
万科天景花园 ,2
时代柏林 ,2
亚运城媒体村(南区) ,2
自在城市花园四期诺德名筑 ,2
金碧花园第一金碧 ,2
阳光城丽景湾・星悦 ,2
北丽园 ,2
中海康城 ,2
岭南新世界 ,2
银建小区 ,2
华景雅苑德维轩 ,2
万科里享家 ,2
保利丰花园 ,2
祈福新村康怡居 ,2
奥园广场 ,2
时代城 ,2
富力新居 ,2
汇侨新城北区 ,2
保利城 ,2
杨巷路 ,2
华景新城怡景园 ,2
金泽华庭 ,2
雅景苑 ,2
康裕园 ,2
龙津西路 ,2
碧桂园凤凰城凤盈苑 ,2
峰境园 ,2
金雅苑 ,2
富雅名居 ,2
保利麓苑 ,2
江南大道中 ,2
雪域澜庭A2区 ,2
龟岗大马路 ,2
农林华府 ,2
福雅居 ,2
海印苑 ,2
气象局大院 ,2
万科山景城 ,2
珠光路 ,1
先烈中路 ,1
教育路(越秀) ,1
桨栏路 ,1
多宝华厦 ,1
东华市场东华东路 ,1
培正路 ,1
惠福东路 ,1
同庆路 ,1
锦桦大厦锦桦荟 ,1
广船鹤园小区 ,1
雅居乐雍逸豪庭 ,1
珠光流溪御景 ,1
新福港鼎峰 ,1
海富花园 ,1
富力伯爵山 ,1
万科南方公元 ,1
西福蓝湾 ,1
应元路 ,1
美力花园 ,1
保利中航城二期 ,1
万科城 ,1
华侨花园 ,1
越秀滨海悦城 ,1
富庄庭 ,1
花都颐和山庄 ,1
亚运城天o1区 ,1
南方电网宿舍 ,1
滨江西路 ,1
保利东江首府 ,1
尚东阳光 ,1
雅居乐小院流溪 ,1
颐和盛世 ,1
时代南湾 ,1
豪进山湖BZ ,1
祈福缤纷汇 ,1
南田路 ,1
广园云苑新村 ,1
新城国际 ,1
托斯卡纳(从化区) ,1
科慧花园 ,1
时代印记(广州) ,1
福龙苑 ,1
金地香山湖 ,1
中惠璧珑湾 ,1
岭南公馆 ,1
雪域澜庭A1区 ,1
德安新村 ,1
工会大厦 ,1
豪景花园 ,1
紫泉翠荔嘉园 ,1
天马河壹号 ,1
雄峰城 ,1
盘福路 ,1
上城湾畔B区 ,1
海伦堡流金岁月 ,1
风神花园 ,1
华侨乐园 ,1
万科城市之光E区 ,1
碧桂园映象 ,1
碧桂园豪进左岸 ,1
天河广场 ,1
珠江花园 ,1
祈福新村青怡居 ,1
东骏花园 ,1
广州敏捷绿湖首府 ,1
南沙奥园 ,1
西湾苑 ,1
光大花园中海锦榕湾 ,1
金山谷尚层 ,1
西华路 ,1
聚宝阁 ,1
亚太新城富丽园 ,1
东方白云花园 ,1
文船生活区新东区 ,1
沙和路 ,1
祈福辉煌台 ,1
港航华庭 ,1
南沙湾东苑 ,1
陈岗路 ,1
侨怡苑 ,1
福宁路 ,1
阳光城丽景湾・澜悦 ,1
晓港西马路 ,1
中房观湖国际 ,1
恒大山水城 ,1
富丽家园乳芳园 ,1
星誉花园 ,1
公园前9号小区 ,1
华景新城泽晖苑 ,1
湖畔花园 ,1
中新紫荆府 ,1
金建苑 ,1
丽江花园华林居 ,1
亚运城媒体北村 ,1
蓝色康园 ,1
保利拾光年 ,1
洪德雅苑 ,1
东晖名苑 ,1
祥景花园AC区 ,1
富泽园 ,1
方圆明月山溪 ,1
永福路永福西约 ,1
萝岗敏捷广场 ,1
亚运城天成 ,1
金泽花园 ,1
龙湾广场 ,1
区庄村 ,1
棠德花苑 ,1
顺德碧桂园芷兰湾 ,1
富雅都市华庭 ,1
广州万科城 ,1
都府社区 ,1
东方花园又一村 ,1
湖滨小区 ,1
瑞晖花园 ,1
汇东国际花园 ,1
人盛巴厘天地 ,1
金时花园 ,1
东方名都花园 ,1
大新路 ,1
福今西 ,1
福今东 ,1
共和南路 ,1
创基丽江国际 ,1
万寿路 ,1
宏达北路 ,1
丽江花园丽茹楼 ,1
碧泰豪苑 ,1
保利心语 ,1
华景新城怡华台 ,1
松园大厦(花都区) ,1
银都大厦 ,1
鸿城花园 ,1
解放北路(越秀区) ,1
城启荔港南湾 ,1
沙园 ,1
南华西路 ,1
菜园东 ,1
起义路 ,1
华侨新村 ,1
小东园 ,1
新平路 ,1
天字广场 ,1
金羊花园 ,1
合汇学府名郡 ,1
丰年华庭 ,1
市委党校大院 ,1
海珠中路 ,1
滨江1933 ,1
达道路 ,1
八旗二马路 ,1
逢源路 ,1
执信南路 ,1
惠福西路 ,1
珠岛花园 ,1
多宝路 ,1
长堤大马路 ,1
新河浦路 ,1
龟岗四马路 ,1
珠光雅居 ,1
东湖北大院 ,1
西华路 ,28
珠岛花园 ,19
环市西路 ,16
中山七路 ,15
城启荔港南湾 ,15
万科柏悦湾 ,13
龙津西路 ,12
西湾东路 ,12
新世界凯粤湾 ,11
富力环市西苑 ,10
花语水岸 ,10
南岸路 ,10
金道花园 ,9
金湾明珠 ,9
万科海上传奇 ,8
富力新居 ,7
西湾路 ,7
黄沙大道 ,7
宝华路(荔湾) ,7
岭南湾畔 ,6
乐怡居 ,6
龙津东路 ,6
文昌南路 ,6
逢源路 ,6
广雅路 ,6
多宝路 ,6
鸿图苑 ,6
四季花园 ,5
新世界逸彩庭园 ,5
北大资源博雅1898 ,5
合兴苑 ,5
广船鹤园小区 ,5
骏业阁 ,5
站前路(荔湾) ,5
悦江上品苑 ,5
蓬莱路 ,5
桃源社区 ,5
西关尚品 ,5
西湾苑 ,4
金花苑 ,4
十八甫北路 ,4
流花路 ,4
杨巷路 ,4
金宇花园 ,4
陈岗路 ,4
华发中央公园 ,4
文昌花园 ,4
丰年华庭 ,4
西关大厦 ,4
辉洋苑 ,4
恒宝华庭 ,4
恒利翠竹苑 ,4
华贵路 ,4
金融街融穗华府 ,4
恩宁路 ,4
逸翠湾 ,4
杉木栏路 ,4
荔江美筑 ,4
荔新大厦 ,4
荷柳苑 ,3
芳雅苑 ,3
保利紫林香苑 ,3
芳和花园 ,3
葛洲坝广州紫郡府 ,3
元邦明月星辉 ,3
龙湾广场 ,3
中海锦汇华庭（A区） ,3
桨栏路 ,3
光复南路 ,3
翠岛居 ,3
龙锦大厦 ,3
世纪广场 ,3
保利碧桂园・公园大道 ,3
中山八路 ,3
环翠园 ,3
龙津大厦 ,3
银建小区 ,3
桥东小区 ,3
荔尚国际 ,3
长乐花苑二期 ,3
金花小区 ,3
南源花园 ,3
长寿东路 ,2
丛桂路 ,2
惠城花园 ,2
东鹏花园一期 ,2
金兰苑 ,2
南京路14号大院 ,2
保利花海湾 ,2
大同路(荔湾) ,2
富力广场T区 ,2
路劲隽泷湾 ,2
宝源路 ,2
西增路 ,2
怡芳苑 ,2
力诚欣悦湾 ,2
多宝华厦 ,2
芳华苑 ,2
