标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
协和，楼龄新，环境安静，可公积金贷款，大两房大阳台,西湾苑 ,西村,近地铁 VR看装修 房本满五年 随时看房,2,4个月以前发布,2室1厅,66.57平米,东南,精装,高楼层(共9层),1980年,塔楼,1280000.0,19228
南岸路低层实用两房单位简洁明亮装修新婚之选,南岸路 ,南岸路,近地铁 VR房源 房本满五年 随时看房,0,2个月以前发布,2室1厅,40.07平米,东南,简装,中楼层(共8层),,塔楼,790000.0,19716
富力广场两房单位 ，东南向 ，视野采光好,富力广场T区 ,中山八,近地铁 VR看装修 房本满五年,2,1个月以前发布,2室1厅,73.06平米,东南,其他,低楼层(共19层),2003年,塔楼,2980000.0,40789
南向两房    厅出阳台 采光通风都好,路劲隽泷湾 ,龙溪,VR看装修 房本满五年 随时看房,0,1个月以前发布,2室1厅,79.46平米,南,精装,低楼层(共15层),2013年,塔楼,2150000.0,27058
南向采光通风好 近地铁 配套齐全,新世界逸彩庭园 ,蚩,近地铁 VR看装修 房本满五年 随时看房,2,1个月以前发布,3室2厅,108.57平米,南,精装,高楼层(共18层),2007年,塔楼,3250000.0,29935
西门口地铁板块 精装修 拎包入住 出租自住两不误,中山七路 ,龙津,近地铁 VR房源 房本满五年 随时看房,4,1个月以前发布,2室1厅,45.1平米,南西,精装,中楼层(共9层),,板楼,1380000.0,30599
原装电梯小区房，环境安静，业主自住，生活方便。,金花苑 ,西华路,近地铁 VR看装修 房本满五年,0,9个月以前发布,2室2厅,80.52平米,北,精装,低楼层(共25层),1999年,塔楼,2890000.0,35892
富力新居小两房，低楼层南向，近地铁，公园，有小平台,富力新居 ,南岸路,近地铁 VR看装修 房本满两年 随时看房,3,一年前发布,2室1厅,49.08平米,南,精装,低楼层(共9层),1993年,塔楼,1580000.0,32193
杨巷路  总*低，置业首先选  视野广阔,杨巷路 ,人民路,近地铁 VR看装修 房本满五年 随时看房,29,一年前发布,1室0厅,25平米,东,简装,低楼层(共5层),1988年,板楼,380000.0,15200
荔湾湖旁示范街区环境优美，东南向两房,龙津西路 ,西关,近地铁 VR看装修 房本满五年 随时看房,1,一年前发布,2室1厅,53.22平米,东南,简装,中楼层(共9层),,塔楼,1300000.0,24427
荔港南湾 G区东南向三房 保养好,城启荔港南湾 ,南岸路,VR房源 房本满五年,1,4个月以前发布,3室1厅,90.47平米,东南,其他,中楼层(共34层),2008年,塔楼,4300000.0,47530
丰年华庭 芳村地*站 原装电梯大两房 装修新净,丰年华庭 ,芳村,近地铁 VR看装修 房本满五年 随时看房,2,3个月以前发布,2室1厅,74.03平米,东南,精装,低楼层(共15层),2008年,塔楼,2150000.0,29043
高层南向两房，对流户型，一手业主，满五唯一，保养好,富力环市西苑 ,西村,近地铁 VR看装修 房本满五年,8,一年前发布,2室1厅,69.54平米,南,精装,高楼层(共15层),2000年,塔楼,2980000.0,42854
房子南向望小区花园，采光通风好，三面单边,富力新居 ,南岸路,近地铁 VR房源 房本满两年,2,4个月以前发布,2室1厅,50.97平米,南,其他,高楼层(共9层),1993年,塔楼,1680000.0,32961
大型小区 电梯温馨精装小两 房产权清晰 保养好东南向,鸿图苑 ,汾水,VR看装修 房本满两年,2,3个月以前发布,2室1厅,51.28平米,东南,精装,中楼层(共9层),1997年,塔楼,1280000.0,24961
稀有跃层住宅，二楼上天台，南向观景大阳台，楼下省实,乐怡居 ,花地湾,近地铁 VR房源 房本满两年 随时看房,1,6个月以前发布,4室2厅,259.64平米,东南,毛坯,高楼层(共33层),1999年,塔楼,5880000.0,22647
大院管理，有门禁，一梯两户，全明格局，安静舒适,环市西路 ,流花站前,近地铁 VR看装修 房本满五年 随时看房,11,5个月以前发布,2室1厅,53.12平米,东南,简装,高楼层(共6层),,暂无数据,1050000.0,19767
东南向 通风采光好 产权清晰无抵押,新世界凯粤湾 ,蚩,近地铁 VR看装修 房本满两年 随时看房,4,2个月以前发布,3室2厅,94.31平米,东南南,精装,高楼层(共33层),2019年,塔楼,3780000.0,40081
加装电梯，西村5/8号线双地铁口100米，楼龄新,广雅路 ,西村,近地铁 VR看装修 房本满五年,3,27,2室1厅,79.32平米,南,简装,中楼层(共9层),,平房,2280000.0,28745
环市西路平层电梯 南北对流 通风采光好,环市西路 ,流花站前,近地铁 VR看装修 房本满两年,0,1个月以前发布,2室1厅,73.26平米,北,其他,低楼层(共9层),,塔楼,1700000.0,23206
5号线蚩400米，南向电梯三房，诚意出,龙湾广场 ,蚩,近地铁 VR房源 房本满两年,0,1个月以前发布,3室2厅,121.66平米,东南,精装,高楼层(共15层),1999年,塔楼,3050000.0,25070
满二唯一，精装修保养的很好，业主诚意卖,富力环市西苑 ,西村,近地铁 VR房源 房本满五年,3,8个月以前发布,2室1厅,61.01平米,北,精装,中楼层(共15层),2000年,塔楼,2880000.0,47206
越秀区 电梯楼 户型好 安静通风光线好 交通便利,西华路 ,西华路,近地铁 VR看装修 房本满五年,1,22,2室1厅,47.76平米,西南,简装,中楼层(共9层),,塔楼,1780000.0,37270
西村  南北对流  采光好  户型方正实用,西湾东路 ,西村,近地铁 VR看装修 房本满五年 随时看房,7,3个月以前发布,2室1厅,51.05平米,南,简装,中楼层(共5层),,塔楼,1100000.0,21548
银建小区 精致装修 加装电梯 视野开阔 采光充足,银建小区 ,周门,近地铁 VR看装修 房本满五年,2,3个月以前发布,2室1厅,63.39平米,东北,精装,中楼层(共9层),1998年,塔楼,2330000.0,36757
大院管理 陈岗路 低层可小三房,陈岗路 ,流花站前,近地铁 VR看装修 房本满五年 随时看房,3,10个月以前发布,3室2厅,75.22平米,东南,精装,中楼层(共6层),,塔楼,1920000.0,25526
"越秀区司马街,电梯南向3房,视野开阔,精装修，拎包入住",西华路 ,西华路,近地铁 VR看装修 房本满五年,4,1个月以前发布,3室2厅,78.1平米,南北,精装,高楼层(共9层),1994年,塔楼,3000000.0,38413
广船鹤园小区 近地铁 新上好房 有电梯诚心卖 小区管理,广船鹤园小区 ,鹤洞,近地铁 VR看装修 房本满五年,11,一年前发布,2室1厅,57.87平米,南,简装,低楼层(共8层),1999年,塔楼,1290000.0,22292
一线湖景3房，视野好，环境好，南北对流。,流花路 ,流花站前,近地铁 VR看装修 房本满五年,8,6个月以前发布,3室1厅,69.11平米,东南,简装,高楼层(共9层),,暂无数据,1550000.0,22429
全明小三房，西村地铁口，采光通风好，户型方正实用,西湾东路 ,西村,近地铁 VR看装修 房本满五年,10,3个月以前发布,3室1厅,60.7平米,西南,精装,高楼层(共8层),,板塔结合,1400000.0,23065
协和，楼龄新，环境安静，可公积金贷款，大两房大阳台,西湾苑 ,西村,近地铁 VR看装修 房本满五年 随时看房,2,4个月以前发布,2室1厅,66.57平米,东南,精装,高楼层(共9层),1980年,塔楼,1280000.0,19228
南岸路低层实用两房单位简洁明亮装修新婚之选,南岸路 ,南岸路,近地铁 VR房源 房本满五年 随时看房,0,2个月以前发布,2室1厅,40.07平米,东南,简装,中楼层(共8层),,塔楼,790000.0,19716
富力广场两房单位 ，东南向 ，视野采光好,富力广场T区 ,中山八,近地铁 VR看装修 房本满五年,2,1个月以前发布,2室1厅,73.06平米,东南,其他,低楼层(共19层),2003年,塔楼,2980000.0,40789
南向两房    厅出阳台 采光通风都好,路劲隽泷湾 ,龙溪,VR看装修 房本满五年 随时看房,0,1个月以前发布,2室1厅,79.46平米,南,精装,低楼层(共15层),2013年,塔楼,2150000.0,27058
南向采光通风好 近地铁 配套齐全,新世界逸彩庭园 ,蚩,近地铁 VR看装修 房本满五年 随时看房,2,1个月以前发布,3室2厅,108.57平米,南,精装,高楼层(共18层),2007年,塔楼,3250000.0,29935
西门口地铁板块 精装修 拎包入住 出租自住两不误,中山七路 ,龙津,近地铁 VR房源 房本满五年 随时看房,4,1个月以前发布,2室1厅,45.1平米,南西,精装,中楼层(共9层),,板楼,1380000.0,30599
原装电梯小区房，环境安静，业主自住，生活方便。,金花苑 ,西华路,近地铁 VR看装修 房本满五年,0,9个月以前发布,2室2厅,80.52平米,北,精装,低楼层(共25层),1999年,塔楼,2890000.0,35892
富力新居小两房，低楼层南向，近地铁，公园，有小平台,富力新居 ,南岸路,近地铁 VR看装修 房本满两年 随时看房,3,一年前发布,2室1厅,49.08平米,南,精装,低楼层(共9层),1993年,塔楼,1580000.0,32193
杨巷路  总*低，置业首先选  视野广阔,杨巷路 ,人民路,近地铁 VR看装修 房本满五年 随时看房,29,一年前发布,1室0厅,25平米,东,简装,低楼层(共5层),1988年,板楼,380000.0,15200
荔湾湖旁示范街区环境优美，东南向两房,龙津西路 ,西关,近地铁 VR看装修 房本满五年 随时看房,1,一年前发布,2室1厅,53.22平米,东南,简装,中楼层(共9层),,塔楼,1300000.0,24427
荔港南湾 G区东南向三房 保养好,城启荔港南湾 ,南岸路,VR房源 房本满五年,1,4个月以前发布,3室1厅,90.47平米,东南,其他,中楼层(共34层),2008年,塔楼,4300000.0,47530
丰年华庭 芳村地*站 原装电梯大两房 装修新净,丰年华庭 ,芳村,近地铁 VR看装修 房本满五年 随时看房,2,3个月以前发布,2室1厅,74.03平米,东南,精装,低楼层(共15层),2008年,塔楼,2150000.0,29043
高层南向两房，对流户型，一手业主，满五唯一，保养好,富力环市西苑 ,西村,近地铁 VR看装修 房本满五年,8,一年前发布,2室1厅,69.54平米,南,精装,高楼层(共15层),2000年,塔楼,2980000.0,42854
房子南向望小区花园，采光通风好，三面单边,富力新居 ,南岸路,近地铁 VR房源 房本满两年,2,4个月以前发布,2室1厅,50.97平米,南,其他,高楼层(共9层),1993年,塔楼,1680000.0,32961
大型小区 电梯温馨精装小两 房产权清晰 保养好东南向,鸿图苑 ,汾水,VR看装修 房本满两年,2,3个月以前发布,2室1厅,51.28平米,东南,精装,中楼层(共9层),1997年,塔楼,1280000.0,24961
稀有跃层住宅，二楼上天台，南向观景大阳台，楼下省实,乐怡居 ,花地湾,近地铁 VR房源 房本满两年 随时看房,1,6个月以前发布,4室2厅,259.64平米,东南,毛坯,高楼层(共33层),1999年,塔楼,5880000.0,22647
大院管理，有门禁，一梯两户，全明格局，安静舒适,环市西路 ,流花站前,近地铁 VR看装修 房本满五年 随时看房,11,5个月以前发布,2室1厅,53.12平米,东南,简装,高楼层(共6层),,暂无数据,1050000.0,19767
东南向 通风采光好 产权清晰无抵押,新世界凯粤湾 ,蚩,近地铁 VR看装修 房本满两年 随时看房,4,2个月以前发布,3室2厅,94.31平米,东南南,精装,高楼层(共33层),2019年,塔楼,3780000.0,40081
加装电梯，西村5/8号线双地铁口100米，楼龄新,广雅路 ,西村,近地铁 VR看装修 房本满五年,3,27,2室1厅,79.32平米,南,简装,中楼层(共9层),,平房,2280000.0,28745
环市西路平层电梯 南北对流 通风采光好,环市西路 ,流花站前,近地铁 VR看装修 房本满两年,0,1个月以前发布,2室1厅,73.26平米,北,其他,低楼层(共9层),,塔楼,1700000.0,23206
5号线蚩400米，南向电梯三房，诚意出,龙湾广场 ,蚩,近地铁 VR房源 房本满两年,0,1个月以前发布,3室2厅,121.66平米,东南,精装,高楼层(共15层),1999年,塔楼,3050000.0,25070
满二唯一，精装修保养的很好，业主诚意卖,富力环市西苑 ,西村,近地铁 VR房源 房本满五年,3,8个月以前发布,2室1厅,61.01平米,北,精装,中楼层(共15层),2000年,塔楼,2880000.0,47206
越秀区 电梯楼 户型好 安静通风光线好 交通便利,西华路 ,西华路,近地铁 VR看装修 房本满五年,1,22,2室1厅,47.76平米,西南,简装,中楼层(共9层),,塔楼,1780000.0,37270
西村  南北对流  采光好  户型方正实用,西湾东路 ,西村,近地铁 VR看装修 房本满五年 随时看房,7,3个月以前发布,2室1厅,51.05平米,南,简装,中楼层(共5层),,塔楼,1100000.0,21548
银建小区 精致装修 加装电梯 视野开阔 采光充足,银建小区 ,周门,近地铁 VR看装修 房本满五年,2,3个月以前发布,2室1厅,63.39平米,东北,精装,中楼层(共9层),1998年,塔楼,2330000.0,36757
大院管理 陈岗路 低层可小三房,陈岗路 ,流花站前,近地铁 VR看装修 房本满五年 随时看房,3,10个月以前发布,3室2厅,75.22平米,东南,精装,中楼层(共6层),,塔楼,1920000.0,25526
"越秀区司马街,电梯南向3房,视野开阔,精装修，拎包入住",西华路 ,西华路,近地铁 VR看装修 房本满五年,4,1个月以前发布,3室2厅,78.1平米,南北,精装,高楼层(共9层),1994年,塔楼,3000000.0,38413
广船鹤园小区 近地铁 新上好房 有电梯诚心卖 小区管理,广船鹤园小区 ,鹤洞,近地铁 VR看装修 房本满五年,11,一年前发布,2室1厅,57.87平米,南,简装,低楼层(共8层),1999年,塔楼,1290000.0,22292
一线湖景3房，视野好，环境好，南北对流。,流花路 ,流花站前,近地铁 VR看装修 房本满五年,8,6个月以前发布,3室1厅,69.11平米,东南,简装,高楼层(共9层),,暂无数据,1550000.0,22429
全明小三房，西村地铁口，采光通风好，户型方正实用,西湾东路 ,西村,近地铁 VR看装修 房本满五年,10,3个月以前发布,3室1厅,60.7平米,西南,精装,高楼层(共8层),,板塔结合,1400000.0,23065
协和，楼龄新，环境安静，可公积金贷款，大两房大阳台,西湾苑 ,西村,近地铁 VR看装修 房本满五年 随时看房,2,4个月以前发布,2室1厅,66.57平米,东南,精装,高楼层(共9层),1980年,塔楼,1280000.0,19228
南岸路低层实用两房单位简洁明亮装修新婚之选,南岸路 ,南岸路,近地铁 VR房源 房本满五年 随时看房,0,2个月以前发布,2室1厅,40.07平米,东南,简装,中楼层(共8层),,塔楼,790000.0,19716
陈家祠地铁站，户型方正，采光好,西华路 ,西华路,房本满五年 随时看房,0,1个月以前发布,1室1厅,37.69平米,东南,简装,低楼层(共9层),1988年,暂无数据,1180000.0,31309
珠岛花园 电梯小高层 大户型复式单位,珠岛花园 ,大坦沙,近地铁 VR房源 房本满五年,2,27,6室2厅,148.01平米,南北,简装,中楼层(共12层),1995年,塔楼,3500000.0,23648
双阳台方正全明电梯房，有钥匙随时看房。,伟腾阁 ,蚩,VR看装修 随时看房,1,3个月以前发布,2室2厅,82.39平米,南西南,简装,高楼层(共10层),1997年,塔楼,1760000.0,21362
中高层电梯房全明屋户型实用配套齐全看房方便,南岸路 ,南岸路,近地铁 VR看装修 房本满五年,0,1个月以前发布,3室2厅,89.55平米,南,简装,高楼层(共9层),,塔楼,1980000.0,22111
金宇花园 两房 户型方正实用 配套成熟 轻松上车,金宇花园 ,东i,VR看装修 房本满五年,0,21,2室1厅,68.33平米,东,简装,中楼层(共9层),1996年,塔楼,1100000.0,16099
荔港南湾 实用小三房 南北对流 大阳台,城启荔港南湾 ,南岸路,近地铁 VR房源 房本满五年,13,一年前发布,3室2厅,80.2平米,东北,精装,低楼层(共33层),2005年,塔楼,3100000.0,38654
富力新居小两房，低楼层南向，近地铁，公园，有小平台,富力新居 ,南岸路,近地铁 VR看装修 房本满两年 随时看房,3,一年前发布,2室1厅,49.08平米,南,精装,低楼层(共9层),1993年,塔楼,1580000.0,32193
荔湾湖旁示范街区环境优美，东南向两房,龙津西路 ,西关,近地铁 VR看装修 房本满五年 随时看房,1,一年前发布,2室1厅,53.22平米,东南,简装,中楼层(共9层),,塔楼,1300000.0,24427
丰年华庭 芳村地*站 原装电梯大两房 装修新净,丰年华庭 ,芳村,近地铁 VR看装修 房本满五年 随时看房,2,3个月以前发布,2室1厅,74.03平米,东南,精装,低楼层(共15层),2008年,塔楼,2150000.0,29043
荔港南湾 G区东南向三房 保养好,城启荔港南湾 ,南岸路,VR房源 房本满五年,1,4个月以前发布,3室1厅,90.47平米,东南,其他,中楼层(共34层),2008年,塔楼,4300000.0,47530
杨巷路  总*低，置业首先选  视野广阔,杨巷路 ,人民路,近地铁 VR看装修 房本满五年 随时看房,29,一年前发布,1室0厅,25平米,东,简装,低楼层(共5层),1988年,板楼,380000.0,15200
大型小区 电梯温馨精装小两 房产权清晰 保养好东南向,鸿图苑 ,汾水,VR看装修 房本满两年,2,3个月以前发布,2室1厅,51.28平米,东南,精装,中楼层(共9层),1997年,塔楼,1280000.0,24961
房子南向望小区花园，采光通风好，三面单边,富力新居 ,南岸路,近地铁 VR房源 房本满两年,2,4个月以前发布,2室1厅,50.97平米,南,其他,高楼层(共9层),1993年,塔楼,1680000.0,32961
高层南向两房，对流户型，一手业主，满五唯一，保养好,富力环市西苑 ,西村,近地铁 VR看装修 房本满五年,8,一年前发布,2室1厅,69.54平米,南,精装,高楼层(共15层),2000年,塔楼,2980000.0,42854
"越秀区司马街,电梯南向3房,视野开阔,精装修，拎包入住",西华路 ,西华路,近地铁 VR看装修 房本满五年,4,1个月以前发布,3室2厅,78.1平米,南北,精装,高楼层(共9层),1994年,塔楼,3000000.0,38413
广船鹤园小区 近地铁 新上好房 有电梯诚心卖 小区管理,广船鹤园小区 ,鹤洞,近地铁 VR看装修 房本满五年,11,一年前发布,2室1厅,57.87平米,南,简装,低楼层(共8层),1999年,塔楼,1290000.0,22292
东南向 通风采光好 产权清晰无抵押,新世界凯粤湾 ,蚩,近地铁 VR看装修 房本满两年 随时看房,4,2个月以前发布,3室2厅,94.31平米,东南南,精装,高楼层(共33层),2019年,塔楼,3780000.0,40081
满二唯一，精装修保养的很好，业主诚意卖,富力环市西苑 ,西村,近地铁 VR房源 房本满五年,3,8个月以前发布,2室1厅,61.01平米,北,精装,中楼层(共15层),2000年,塔楼,2880000.0,47206
环市西路平层电梯 南北对流 通风采光好,环市西路 ,流花站前,近地铁 VR看装修 房本满两年,0,1个月以前发布,2室1厅,73.26平米,北,其他,低楼层(共9层),,塔楼,1700000.0,23206
越秀区 电梯楼 户型好 安静通风光线好 交通便利,西华路 ,西华路,近地铁 VR看装修 房本满五年,1,22,2室1厅,47.76平米,西南,简装,中楼层(共9层),,塔楼,1780000.0,37270
银建小区 精致装修 加装电梯 视野开阔 采光充足,银建小区 ,周门,近地铁 VR看装修 房本满五年,2,3个月以前发布,2室1厅,63.39平米,东北,精装,中楼层(共9层),1998年,塔楼,2330000.0,36757
大院管理 陈岗路 低层可小三房,陈岗路 ,流花站前,近地铁 VR看装修 房本满五年 随时看房,3,10个月以前发布,3室2厅,75.22平米,东南,精装,中楼层(共6层),,塔楼,1920000.0,25526
西村  南北对流  采光好  户型方正实用,西湾东路 ,西村,近地铁 VR看装修 房本满五年 随时看房,7,3个月以前发布,2室1厅,51.05平米,南,简装,中楼层(共5层),,塔楼,1100000.0,21548
大院管理，有门禁，一梯两户，全明格局，安静舒适,环市西路 ,流花站前,近地铁 VR看装修 房本满五年 随时看房,11,5个月以前发布,2室1厅,53.12平米,东南,简装,高楼层(共6层),,暂无数据,1050000.0,19767
稀有跃层住宅，二楼上天台，南向观景大阳台，楼下省实,乐怡居 ,花地湾,近地铁 VR房源 房本满两年 随时看房,1,6个月以前发布,4室2厅,259.64平米,东南,毛坯,高楼层(共33层),1999年,塔楼,5880000.0,22647
加装电梯，西村5/8号线双地铁口100米，楼龄新,广雅路 ,西村,近地铁 VR看装修 房本满五年,3,27,2室1厅,79.32平米,南,简装,中楼层(共9层),,平房,2280000.0,28745
5号线蚩400米，南向电梯三房，诚意出,龙湾广场 ,蚩,近地铁 VR房源 房本满两年,0,1个月以前发布,3室2厅,121.66平米,东南,精装,高楼层(共15层),1999年,塔楼,3050000.0,25070
岭南湾畔，楼层佳，视野好，无遮挡,岭南湾畔 ,西村,近地铁 VR看装修 房本满五年,0,3个月以前发布,3室2厅,96.97平米,西南,其他,高楼层(共32层),2010年,塔楼,4800000.0,49500
楼龄新，楼层好，户型方正，南北对流方正两房,城启荔港南湾 ,南岸路,VR房源 随时看房,1,3个月以前发布,2室1厅,77.81平米,东南,简装,高楼层(共34层),2008年,塔楼,2880000.0,37014
西场小区 低层二楼 单边户型 四房两卫 钥匙在手,西场电器城 ,西村,近地铁 VR房源 房本满五年 随时看房,0,20,4室1厅,84.39平米,南北,简装,低楼层(共9层),,塔楼,1750000.0,20738
一手业主  厅出阳台   加装电梯中层 近一号线地铁,合兴苑 ,芳村,近地铁 VR看装修 房本满五年,7,9个月以前发布,2室1厅,68.31平米,东,精装,中楼层(共8层),1997年,板楼,1660000.0,24301
保利紫林香苑 三房带主套 满五唯一 小区安静舒适,保利紫林香苑 ,龙溪,VR看装修 房本满五年 随时看房,15,7个月以前发布,3室2厅,94.48平米,北,精装,高楼层(共18层),2015年,板楼,2400000.0,25403
小区管理，环境好，楼龄新，配套成熟,富力新居 ,南岸路,近地铁 VR看装修 房本满五年,0,5个月以前发布,2室1厅,50.95平米,南北,简装,中楼层(共9层),1993年,塔楼,1450000.0,28460
急，想要低楼层三房精装修的看过来,中海花湾壹号C区 ,广钢新城,近地铁 VR看装修 房本满两年,6,2个月以前发布,3室2厅,84.21平米,北,精装,低楼层(共56层),,塔楼,3200000.0,38001
西村  南北对流  采光好  户型方正实用,西湾东路 ,西村,近地铁 VR看装修 房本满五年 随时看房,7,3个月以前发布,2室1厅,51.05平米,南,简装,中楼层(共5层),,塔楼,1100000.0,21548
陈家祠地铁↑盖 原装电梯荔康大厦厅出阳台方正两房,荔康大厦 ,陈家祠,VR房源 房本满五年 随时看房,3,1个月以前发布,2室1厅,73.97平米,北,简装,中楼层(共19层),2004年,塔楼,3280000.0,44343
此房满五年非唯一，东南靓向，通风采光靓，视野开阔。,城启荔港南湾 ,南岸路,近地铁 VR房源 房本满五年 随时看房,5,1个月以前发布,3室2厅,88.39平米,东南,简装,中楼层(共32层),2008年,塔楼,3000000.0,33941
全明小三房，西村地铁口，采光通风好，户型方正实用,西湾东路 ,西村,近地铁 VR看装修 房本满五年,10,3个月以前发布,3室1厅,60.7平米,西南,精装,高楼层(共8层),,板塔结合,1400000.0,23065
马赛克外墙 小两房一厅 楼下环境好,十八甫北路 ,和平西,VR房源 房本满五年 随时看房,0,1个月以前发布,2室1厅,37.22平米,北南,精装,高楼层(共10层),1991年,塔楼,700000.0,18808
一线湖景3房，视野好，环境好，南北对流。,流花路 ,流花站前,近地铁 VR看装修 房本满五年,8,6个月以前发布,3室1厅,69.11平米,东南,简装,高楼层(共9层),,暂无数据,1550000.0,22429
芳和花园 电梯南向 大阳台 景观好,芳和花园 ,坑口,近地铁 VR看装修 房本满五年 随时看房,3,1个月以前发布,2室2厅,66.86平米,南,其他,低楼层(共32层),,塔楼,2100000.0,31409
长乐社区 电梯地铁 南北对流 一手业主,环市西路 ,流花站前,近地铁 VR看装修 房本满五年 随时看房,2,1个月以前发布,2室1厅,58.95平米,南,精装,高楼层(共9层),,塔楼,1580000.0,26803
低密度小区，户型通风采光好，业主诚心卖。,北大资源博雅1898 ,广钢新城,近地铁 VR房源 房本满五年 随时看房,0,3个月以前发布,3室2厅,117.38平米,南北,其他,中楼层(共27层),,塔楼,4900000.0,41745
中山七路 富邦商城旁 全明三房 装修保养新 近西门口,中山七路 ,龙津,近地铁 VR房源 房本满五年,13,4个月以前发布,3室2厅,52.1平米,东北,精装,中楼层(共9层),1993年,板楼,1700000.0,32630
大院管理 中高楼层 一梯一户低密度 南北对流,陈岗路2号大院 ,流花站前,VR看装修 房本满两年 随时看房,0,4个月以前发布,2室1厅,76平米,东南,简装,高楼层(共9层),,暂无数据,2280000.0,30000
四期两房  满五唯一  装修保养好  采光透风好,四季花园 ,坑口,近地铁 VR看装修 房本满五年,6,8个月以前发布,2室1厅,80.28平米,西北,精装,高楼层(共18层),2010年,塔楼,2380000.0,29647
紫郡府四房 全新未住 南北对流户型 新新新,葛洲坝广州紫郡府 ,广钢新城,VR看装修 房本满两年,0,5,4室2厅,127.26平米,南北,精装,中楼层(共29层),,板楼,5700000.0,44791
使用率150%！带100方私人花园，装修新，拎包入住。,鹅潭湾 ,蚩,近地铁 VR房源 房本满两年,6,11个月以前发布,3室1厅,148.32平米,南北,精装,低楼层(共19层),,塔楼,6580000.0,44364
岭南湾畔，楼层佳，视野好，无遮挡,岭南湾畔 ,西村,近地铁 VR看装修 房本满五年,0,3个月以前发布,3室2厅,96.97平米,西南,其他,高楼层(共32层),2010年,塔楼,4800000.0,49500
天花版小区南向中层望花园望江三房带主套,御景壹号 ,黄沙,近地铁 VR看装修 房本满两年,4,2个月以前发布,3室1厅,112.3平米,南,简装,中楼层(共17层),,塔楼,7990000.0,71149
西苑精装修 保养新 3房2卫户型 提前约可以看,富力环市西苑 ,西村,近地铁 VR房源 房本满五年,2,9个月以前发布,3室1厅,101.97平米,东北,精装,中楼层(共15层),2000年,塔楼,4800000.0,47073
厅出阳台，户型方正，实用率高，产权清晰,南岸路 ,南岸路,近地铁 VR看装修 房本满五年,12,一年前发布,2室1厅,40.03平米,东,简装,高楼层(共9层),,塔楼,790000.0,19736
新世界凯粤湾 舒适两房 人车分流小区 望园林视野开阔,新世界凯粤湾 ,蚩,近地铁 VR房源 房本满五年 随时看房,2,一年前发布,2室1厅,75.33平米,西南,精装,低楼层(共33层),2013年,塔楼,2500000.0,33188
紧挨永庆坊 荔枝湾 中低层 方正大两房,多宝路 ,西关,近地铁 VR看装修,2,6个月以前发布,2室1厅,57.04平米,西,简装,中楼层(共7层),,塔楼,1380000.0,24194
D区少有放的南北对流4房单位，满五唯一带两个车位,保利花香美苑 ,龙溪,VR看装修 房本满五年,1,3个月以前发布,4室2厅,142.91平米,东南南西南,精装,中楼层(共32层),2015年,塔楼,4650000.0,32538
