标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
大型社区，电梯3房，配套设施齐，旺中带静，交通便利,茶蛐麓 ,芳村,近地铁 VR看装修 房本满五年 随时看房,0,一年前发布,2室2厅,68.47平米,东南,精装,高楼层(共8层),1987年,塔楼,1690000.0,24683
芳村花园 南向三房 通风舒适 望花园 自住精装修,芳村花园 ,坑口,近地铁 VR房源 房本满五年 随时看房,4,一年前发布,3室2厅,110.95平米,东南南,精装,低楼层(共32层),1999年,塔楼,2980000.0,26859
电梯 环市西 五号线 八号线 双地铁 产权清晰,环市西路 ,流花站前,近地铁 VR看装修 房本满五年 随时看房,28,一年前发布,1室1厅,36.05平米,南,简装,高楼层(共8层),2008年,塔楼,1250000.0,34675
厅出阳台，户型方正，实用率高，产权清晰,南岸路 ,南岸路,近地铁 VR看装修 房本满五年,12,一年前发布,2室1厅,40.03平米,东,简装,高楼层(共9层),塔楼,,790000.0,19736
南北对流户型，采光通风，业主诚意十足。,华发中央公园 ,广钢新城,近地铁 VR看装修 房本满两年 随时看房,8,5个月以前发布,3室2厅,93.13平米,南北,其他,低楼层(共37层),板塔结合,2019年,4780000.0,51327
元邦明月星辉 1室1厅 北,元邦明月星辉 ,龙津,近地铁 VR房源 房本满五年,1,2个月以前发布,1室1厅,48.33平米,北,简装,中楼层(共25层),塔楼,,1480000.0,30623
华发中楼层 南向望花园 小区中间楼栋,华发中央公园 ,广钢新城,近地铁 VR看装修 房本满两年,0,5个月以前发布,3室1厅,94.16平米,西南,精装,中楼层(共37层),塔楼,2019年,4600000.0,48854
荔港南湾 精装修小三房 采光通风好,城启荔港南湾 ,南岸路,近地铁 VR看装修 房本满五年,1,2个月以前发布,2室2厅,75.94平米,东南,精装,高楼层(共28层),塔楼,2008年,2930000.0,38584
金湾明珠 正东靓向 精致装修 实用三房,金湾明珠 ,大坦沙,近地铁 VR看装修 房本满五年,1,27,3室2厅,103.8平米,东,精装,低楼层(共40层),塔楼,2019年,4600000.0,44316
越秀电梯，精致两房，南北对流，配套完善,西华路 ,西华路,近地铁 VR看装修 房本满五年,2,1个月以前发布,2室1厅,43.96平米,南北,精装,低楼层(共9层),塔楼,1994年,1590000.0,36170
广船鹤园小区 户型方正 南向采光好 近地铁,广船鹤园小区 ,鹤洞,近地铁 VR看装修 房本满五年,3,2个月以前发布,2室1厅,48.42平米,南,简装,中楼层(共6层),板楼,1999年,880000.0,18175
Vank物业，低密度社区，精装四房两卫，近地铁，近省实,北大资源博雅1898 ,广钢新城,近地铁 VR房源 房本满五年 随时看房,10,7个月以前发布,4室2厅,131.32平米,南北,精装,中楼层(共27层),塔楼,,5880000.0,44777
西华路美食街 加装电梯中层 一房一厅南方 装修新,西华路 ,西华路,近地铁 VR看装修 房本满五年,1,5个月以前发布,1室1厅,34.75平米,南,精装,低楼层(共9层),塔楼,1994年,1200000.0,34533
南岸路 花园一楼 框架结构 便宜,南岸路 ,南岸路,近地铁 VR看装修 房本满五年 随时看房,1,1个月以前发布,2室1厅,53.36平米,南北,简装,低楼层(共6层),暂无数据,,1280000.0,23989
南源三房带主套，小区三期的房。,南源花园 ,南岸路,近地铁 VR看装修 随时看房,1,1个月以前发布,3室2厅,106.04平米,西北,简装,高楼层(共17层),塔楼,2001年,3250000.0,30649
中信苑 2室1厅 南,中信苑 ,中山八,近地铁 VR看装修 房本满五年 随时看房,0,1个月以前发布,2室1厅,73.32平米,南,简装,中楼层(共9层),板塔结合,1995年,1780000.0,24278
金花小区  电梯两房 环境幽静  方正实用,金花小区 ,西华路,近地铁 VR房源 房本满五年 随时看房,0,18,2室1厅,58.3平米,西,简装,低楼层(共9层),塔楼,1998年,1980000.0,33963
陈岗路 环境优美 三房全明屋 加装电梯 近流花湖公园,陈岗路 ,流花站前,VR看装修 随时看房,0,1个月以前发布,3室2厅,86.59平米,南,简装,低楼层(共8层),塔楼,,2680000.0,30951
城区示范小区，低楼层、住家精装修。,桃源社区 ,龙津,近地铁 VR看装修 房本满五年,0,17,3室1厅,64.8平米,北,精装,中楼层(共6层),塔楼,1991年,1850000.0,28550
原装电梯房 1房1厅 近地铁 交通便利,怡康苑 ,鹤洞,近地铁 VR看装修 房本满五年 随时看房,0,10,1室1厅,51.5平米,南西南,简装,低楼层(共30层),塔楼,,1300000.0,25243
大岗元社区 小户型 社区环境  电梯,西湾路 ,西村,近地铁 VR看装修 房本满五年,0,2个月以前发布,2室1厅,33.9平米,南,精装,高楼层(共9层),塔楼,,1340000.0,39529
低层单位     格局采光好       刚需两房,芬芳小区 ,汾水,VR看装修 房本满五年,3,5个月以前发布,2室1厅,57平米,南,其他,低楼层(共9层),塔楼,1996年,1250000.0,21930
永庆坊 黄沙地铁 领展广场 低层精装两房,大同路(荔湾) ,黄沙,VR看装修 房本满五年 随时看房,0,2个月以前发布,2室1厅,41.05平米,东南,精装,中楼层(共7层),塔楼,1999年,1080000.0,26310
杉木栏路 业主急出 产权清晰 地铁200多米 配套成熟,杉木栏路 ,和平西,近地铁 VR看装修 房本满五年,0,21,2室2厅,69.15平米,东西,简装,高楼层(共9层),塔楼,,1380000.0,19957
大型成熟小区有电梯 两房 南向 户型方正,鸿图苑 ,汾水,VR看装修 房本满五年,1,2个月以前发布,2室1厅,60.65平米,南,简装,中楼层(共9层),塔楼,1995年,1400000.0,23084
石围塘站电梯两房！高层视野好！,紫莱苑 ,芳村,VR看装修 房本满五年,30,一年前发布,2室2厅,67.49平米,东,精装,高楼层(共9层),塔楼,1997年,1588000.0,23530
电梯平层，高层两房，采光通风好，精装修的，保养新净,环翠园 ,南岸路,近地铁 VR看装修 房本满五年,1,4个月以前发布,2室1厅,57.98平米,南北,精装,高楼层(共9层),塔楼,,1440000.0,24837
舒适大两房，双阳台，前望云山左望珠水,城启荔港南湾 ,南岸路,VR房源 房本满五年,2,5个月以前发布,2室2厅,79.18平米,东北,精装,中楼层(共34层),塔楼,2008年,2800000.0,35363
高收益 总jia低产品 适合长期持有,碧桂园朝花 ,鹤洞,近地铁 随时看房,1,2个月以前发布,3室3厅,31平米,南,简装,高楼层(共20层),塔楼,,680000.0,21936
南北对流5.8.号线双条地铁 市场 医院 步行均可到达,广雅路 ,西村,近地铁 VR看装修 房本满五年,1,5个月以前发布,1室1厅,38.63平米,东南,简装,低楼层(共9层),平房,,1100000.0,28476
西门口板块原装电梯全明三房 附西实无占用 看房方便,金门大厦 ,西华路,VR房源 房本满五年,2,7个月以前发布,3室2厅,112.18平米,东北,精装,中楼层(共20层),塔楼,2006年,4000000.0,35657
东南向看小区花园 户型方正 闹中取静临江花园小区,岭南湾畔 ,西村,近地铁 VR看装修 房本满五年,1,6个月以前发布,3室2厅,99.62平米,南,精装,中楼层(共32层),塔楼,2010年,5350000.0,53705
西关海 中层南向4房 可望江 装修保养好,西关海 ,南岸路,近地铁 VR看装修 房本满五年 随时看房,2,3个月以前发布,4室2厅,152.8平米,南,精装,中楼层(共56层),塔楼,2012年,9350000.0,61192
中山八路 电梯两房 南北对流 日照充足,中山八路 ,中山八,近地铁 VR看装修 房本满五年,0,12,2室1厅,54.75平米,南,简装,高楼层(共9层),暂无数据,,1650000.0,30137
富力广场 南北对流三房 全明屋 使用率高,富力广场D区 ,中山八,近地铁 VR看装修 房本满五年 随时看房,11,8个月以前发布,3室1厅,88.89平米,南北,简装,中楼层(共26层),塔楼,2003年,4080000.0,45900
华发中楼层 南向望花园 小区中间楼栋,华发中央公园 ,广钢新城,近地铁 VR看装修 房本满两年,0,5个月以前发布,3室1厅,94.16平米,西南,精装,中楼层(共37层),塔楼,2019年,4600000.0,48854
金花小区  电梯两房 环境幽静  方正实用,金花小区 ,西华路,近地铁 VR房源 房本满五年 随时看房,0,18,2室1厅,58.3平米,西,简装,低楼层(共9层),塔楼,1998年,1980000.0,33963
满5年准电梯方正两房采光充足住家装修,合兴苑 ,芳村,近地铁 VR看装修 房本满五年 随时看房,1,一年前发布,2室1厅,67.26平米,东南,简装,高楼层(共8层),板楼,1997年,1700000.0,25276
南北对流户型，采光通风，业主诚意十足。,华发中央公园 ,广钢新城,近地铁 VR看装修 房本满两年 随时看房,8,5个月以前发布,3室2厅,93.13平米,南北,其他,低楼层(共37层),板塔结合,2019年,4780000.0,51327
中信苑 2室1厅 南,中信苑 ,中山八,近地铁 VR看装修 房本满五年 随时看房,0,1个月以前发布,2室1厅,73.32平米,南,简装,中楼层(共9层),板塔结合,1995年,1780000.0,24278
元邦明月星辉 1室1厅 北,元邦明月星辉 ,龙津,近地铁 VR房源 房本满五年,1,2个月以前发布,1室1厅,48.33平米,北,简装,中楼层(共25层),塔楼,,1480000.0,30623
荔港南湾 精装修小三房 采光通风好,城启荔港南湾 ,南岸路,近地铁 VR看装修 房本满五年,1,2个月以前发布,2室2厅,75.94平米,东南,精装,高楼层(共28层),塔楼,2008年,2930000.0,38584
电梯平层单边位采光好独立天台使用,逢源路 ,龙津,近地铁 VR看装修 房本满五年,3,5个月以前发布,2室1厅,46.73平米,东,精装,高楼层(共9层),塔楼,,1700000.0,36380
越秀电梯，精致两房，南北对流，配套完善,西华路 ,西华路,近地铁 VR看装修 房本满五年,2,1个月以前发布,2室1厅,43.96平米,南北,精装,低楼层(共9层),塔楼,1994年,1590000.0,36170
金湾明珠 正东靓向 精致装修 实用三房,金湾明珠 ,大坦沙,近地铁 VR看装修 房本满五年,1,27,3室2厅,103.8平米,东,精装,低楼层(共40层),塔楼,2019年,4600000.0,44316
广船鹤园小区 户型方正 南向采光好 近地铁,广船鹤园小区 ,鹤洞,近地铁 VR看装修 房本满五年,3,2个月以前发布,2室1厅,48.42平米,南,简装,中楼层(共6层),板楼,1999年,880000.0,18175
一梯两户，三面采光，全明格局安静舒适，业主诚意可议,环市西路 ,流花站前,近地铁 VR看装修 房本满五年 随时看房,1,12,2室1厅,53平米,南,简装,高楼层(共6层),板楼,,950000.0,17925
金融街融穗华府 2室1厅 西 北,金融街融穗华府 ,广钢新城,近地铁 VR看装修 房本满五年,0,12,2室1厅,70.93平米,西北,其他,高楼层(共40层),塔楼,,2980000.0,42014
西华路 越秀区方正一房一厅 出行方便 光线通风好,西华路 ,西华路,近地铁 VR看装修 房本满五年 随时看房,1,3个月以前发布,1室1厅,40平米,北,简装,高楼层(共10层),塔楼,1998年,1130000.0,28250
彩虹桥地铁商圈中层上车盘 实用2房厅出阳台,西华路 ,西华路,近地铁 VR看装修 房本满五年 随时看房,9,7个月以前发布,2室1厅,43.12平米,西,简装,中楼层(共9层),塔楼,,1090000.0,25279
温暖与爱的集结 三餐四季 无惧风雨,环市西路 ,流花站前,近地铁 VR看装修 房本满五年,13,一年前发布,2室1厅,61.13平米,东南,精装,中楼层(共9层),塔楼,2008年,1670000.0,27319
紫郡府 南北对流 中层四房 保养新净 随时看房,葛洲坝广州紫郡府 ,广钢新城,VR看装修 随时看房,3,1个月以前发布,4室2厅,127.23平米,南北,精装,中楼层(共29层),塔楼,2021年,5600000.0,44015
君湖华庭，花园式小区管理，大阳台，采光好，通风好,富力君湖华庭 ,流花站前,VR看装修 房本满五年 随时看房,3,一年前发布,3室2厅,118.54平米,东北,精装,低楼层(共42层),塔楼,2011年,5800000.0,48929
商品房满五年 准电梯三房 有平台花园自用,金纶大厦 ,陈家祠,近地铁 VR看装修 房本满五年 随时看房,0,1个月以前发布,3室1厅,77.02平米,南北,简装,低楼层(共9层),塔楼,1996年,2580000.0,33498
富力广场 实用两房三阳台 中楼层 交通配套成熟采光好,富力广场A区 ,中山八,近地铁 VR房源 随时看房,5,4个月以前发布,3室1厅,69.51平米,西南北,简装,中楼层(共9层),塔楼,2005年,1990000.0,28629
"长寿路地铁电梯低层,交通便利户型方正实",宝华路(荔湾) ,西关,VR房源 房本满五年 随时看房,1,16,2室1厅,83平米,南,简装,低楼层(共9层),塔楼,1995年,2270000.0,27350
顺景楼 原装电梯 户型方正 采光好,顺景楼(荔湾区) ,南岸路,近地铁 VR看装修 房本满五年,3,一年前发布,2室1厅,75.44平米,东西南,其他,高楼层(共10层),塔楼,2000年,1800000.0,23861
近地铁、采光好、厅出阳台、马赛克外墙 楼龄新,业丰花园 ,西村,近地铁 VR看装修 房本满五年,2,一年前发布,1室1厅,36.89平米,西南,精装,高楼层(共9层),塔楼,1980年,1040000.0,28192
地铁边 南向两房 全明屋户型方正 双地铁5/8号线300米,环市西路 ,流花站前,近地铁 VR看装修 房本满五年,3,1个月以前发布,2室1厅,52.68平米,东南,精装,高楼层(共9层),塔楼,,1090000.0,20691
花地湾地铁站  电梯大两房 满五年 芳小 出行便利,恒利翠竹苑 ,鹤洞,近地铁 VR房源 房本满五年,8,11个月以前发布,2室1厅,85.42平米,南北,精装,高楼层(共24层),塔楼,2007年,2350000.0,27512
凯粤湾B区 望花园4+1房 中高层 南北对流 采光充足,新世界凯粤湾 ,蚩,近地铁 VR看装修 房本满两年,9,9个月以前发布,5室1厅,142.36平米,西北,精装,中楼层(共33层),塔楼,2018年,5900000.0,41445
准电梯guang雅后街精装修两房近西村地铁站配套成熟,环市西路 ,流花站前,近地铁 VR看装修 房本满五年 随时看房,0,一年前发布,2室1厅,54.15平米,北西北,精装,中楼层(共8层),塔楼,1994年,1550000.0,28625
双地铁线小区   配套完善成熟  电梯三室  旺中带静,金道花园 ,鹤洞,近地铁 VR看装修 房本满五年 随时看房,15,一年前发布,3室2厅,102.17平米,西南,简装,中楼层(共22层),塔楼,1997年,2400000.0,23491
龙津大厦  中高层3房电梯  陈家祠双地铁   满五年物业,龙津大厦 ,龙津,近地铁 VR看装修 房本满五年,1,2个月以前发布,3室1厅,96平米,西南,简装,中楼层(共32层),1997年,塔楼,3150000.0,32813
房子满五唯一，南北对流采光通风好。,新世界逸彩庭园 ,蚩,近地铁 VR房源 房本满五年,7,7个月以前发布,3室2厅,103.96平米,东南,精装,低楼层(共20层),2007年,塔楼,2980000.0,28665
西村地铁口 大两房 楼层低 方正实用,西湾东路 ,西村,近地铁 VR看装修 房本满五年 随时看房,1,8个月以前发布,2室1厅,51.14平米,西,精装,低楼层(共9层),,塔楼,990000.0,19359
加装电梯，全明三房厅出阳台，随时能看房,龙津东路 ,龙津,近地铁 VR看装修 房本满五年 随时看房,3,4个月以前发布,3室1厅,72.12平米,北西南,其他,中楼层(共8层),,塔楼,1950000.0,27039
西平里4总家底，业主诚意出。看房6点后,站前路(荔湾) ,流花站前,VR看装修 房本满五年 随时看房,2,4个月以前发布,1室1厅,42.11平米,东北,简装,中楼层(共9层),,塔楼,800000.0,18998
全新未入住，证满两年，高层无遮挡,保利西悦湾 ,坑口,VR看装修 房本满五年 随时看房,48,一年前发布,4室2厅,140.37平米,东南,精装,高楼层(共30层),2017年,塔楼,5500000.0,39183
中山七路 林业厅宿舍 电梯3房 通风对流 近陈家祠地铁,中山七路 ,龙津,近地铁 VR看装修 随时看房,1,2个月以前发布,3室1厅,83.99平米,东南,简装,低楼层(共9层),,板楼,2500000.0,29766
陈家祠双地铁 中山七路 中层南向2房 满五唯一,中山七路 ,龙津,近地铁 VR看装修 房本满五年 随时看房,19,7个月以前发布,2室1厅,55.23平米,南,精装,中楼层(共9层),1995年,板楼,1370000.0,24806
高层头排望公园 采光好景观好 楼距宽,金融街融穗华府 ,广钢新城,近地铁 VR看装修 房本满五年,3,9个月以前发布,3室2厅,92.07平米,东,精装,中楼层(共40层),2018年,板楼,4300000.0,46704
府前阁 2室2厅 东南,府前阁 ,芳村,VR看装修 房本满五年 随时看房,1,18,2室2厅,78平米,东南,精装,低楼层(共9层),1998年,塔楼,1750000.0,22436
准电梯大两房1号线11号线地铁，刚需上车,合兴苑 ,芳村,近地铁 VR看装修 房本满两年 随时看房,5,11个月以前发布,2室1厅,72.34平米,南北,简装,中楼层(共9层),1997年,板楼,1400000.0,19354
华贵路 3室1厅 西南,华贵路 ,龙津,近地铁 VR房源 随时看房,0,4,3室1厅,46.29平米,西南,精装,低楼层(共2层),,暂无数据,2180000.0,47095
D区全新未入住 东南横厅 三房2卫户型,新世界凯粤湾 ,蚩,近地铁 VR看装修 房本满两年 随时看房,5,1个月以前发布,3室2厅,92.31平米,东南,精装,中楼层(共33层),2022年,塔楼,3800000.0,41166
大岗元，带天台，南北对流两房，过五年唯一,西湾路 ,西村,近地铁 VR房源 房本满五年,6,9个月以前发布,2室1厅,63平米,东南,简装,高楼层(共6层),,塔楼,1370000.0,21747
协和，楼龄新，框架结构，可以公积金贷款,荔新大厦 ,西村,近地铁 VR房源 随时看房,1,2个月以前发布,1室1厅,47.63平米,南,简装,中楼层(共9层),,塔楼,1450000.0,30443
协和社区    户型方正   东南向采光好   满五年,西增路 ,西村,近地铁 VR看装修 房本满五年 随时看房,17,一年前发布,3室2厅,82.95平米,东南,精装,中楼层(共8层),,塔楼,2380000.0,28692
岭南湾畔  南北对流 望花园 交通便利,岭南湾畔 ,西村,近地铁 VR看装修 房本满五年,1,6个月以前发布,2室1厅,82.92平米,南,精装,高楼层(共32层),2010年,塔楼,3620000.0,43657
乐怡居 2室1厅 西北,乐怡居 ,花地湾,近地铁 VR房源 随时看房,0,2个月以前发布,2室1厅,81.65平米,西北,简装,高楼层(共31层),2000年,塔楼,2150000.0,26332
大型小区 电梯大两房 低层单位 南北对流 双阳台,鸿图苑 ,汾水,近地铁 VR看装修 房本满五年 随时看房,2,3个月以前发布,2室1厅,76平米,南北,简装,低楼层(共9层),1995年,塔楼,1530000.0,20132
雅居乐荔尚国际 封闭式小区管理好 南向户型 居住舒适,荔尚国际 ,西关,近地铁 VR房源 房本满五年 随时看房,7,一年前发布,2室2厅,123.31平米,东南,精装,高楼层(共17层),2008年,塔楼,3990000.0,32358
西外baobao荔湾路荔溪大院平层电梯三房带靓装即入住,荔湾路 ,陈家祠,近地铁 VR房源 房本满五年 随时看房,17,2个月以前发布,3室1厅,57.09平米,东南,精装,低楼层(共8层),1990年,塔楼,1430000.0,25049
保利东郡 通风采光好 业主诚心出，望花园泳池！！！,保利东郡 ,广钢新城,VR看装修,0,6个月以前发布,3室2厅,104.48平米,西北,精装,低楼层(共46层),,塔楼,4200000.0,40200
阳光两房 舒适宜居  这套两房大到无法想象,长乐花苑二期 ,西村,近地铁 VR看装修 房本满五年,0,9,2室1厅,94.4平米,西南,简装,高楼层(共32层),1990年,塔楼,3100000.0,32839
11号线旁鹤洞东 保利次新房 三房长阳台户型南向,保利碧桂园・公园大道 ,广钢新城,VR房源,1,1个月以前发布,3室2厅,110.58平米,西南,精装,中楼层(共38层),2017年,板楼,5300000.0,47930
翠竹苑 实用大三房 高层单位 通风采光好,恒利翠竹苑 ,鹤洞,近地铁 VR看装修 房本满五年,3,1个月以前发布,3室1厅,106.76平米,东,其他,高楼层(共33层),2007年,塔楼,3150000.0,29506
荷柳苑 高楼层 户型方正 视野开阔,荷柳苑 ,南岸路,近地铁 VR看装修 房本满两年 随时看房,2,11个月以前发布,2室1厅,54.88平米,东,简装,高楼层(共9层),1997年,塔楼,1760000.0,32070
龙锦大厦高层靓房 陈家祠 西门口次新楼 南北对流,龙锦大厦 ,龙津,近地铁 VR看装修 房本满五年,1,1个月以前发布,2室1厅,82.6平米,南北,精装,高楼层(共31层),2008年,塔楼,2990000.0,36199
中海花湾壹号 靓楼层 视野开阔大3房 配套成熟,中海锦汇华庭（A区） ,广钢新城,近地铁 VR看装修 房本满五年 随时看房,1,2个月以前发布,3室2厅,121.59平米,西南,精装,中楼层(共60层),,板楼,4400000.0,36188
保利物业 型方正 楼层好 楼龄新 精装修,保利紫林香苑 ,龙溪,VR看装修 房本满五年,6,1个月以前发布,2室1厅,70.53平米,南北,精装,中楼层(共18层),2015年,板楼,1880000.0,26656
中山八路 电梯两房 南北对流 日照充足,中山八路 ,中山八,近地铁 VR看装修 房本满五年,0,12,2室1厅,54.75平米,南,简装,高楼层(共9层),,暂无数据,1650000.0,30137
府前阁 2室2厅 东南,府前阁 ,芳村,VR看装修 房本满五年 随时看房,1,18,2室2厅,78平米,东南,精装,低楼层(共9层),1998年,塔楼,1750000.0,22436
协和社区    户型方正   东南向采光好   满五年,西增路 ,西村,近地铁 VR看装修 房本满五年 随时看房,17,一年前发布,3室2厅,82.95平米,东南,精装,中楼层(共8层),,塔楼,2380000.0,28692
陈家祠双地铁 中山七路 中层南向2房 满五唯一,中山七路 ,龙津,近地铁 VR看装修 房本满五年 随时看房,19,7个月以前发布,2室1厅,55.23平米,南,精装,中楼层(共9层),1995年,板楼,1370000.0,24806
近中山八地铁 加装电梯 带精装修 总jia低,南岸路 ,南岸路,近地铁 VR房源 房本满五年 随时看房,0,2个月以前发布,2室1厅,36.37平米,东,精装,高楼层(共7层),,板楼,1080000.0,29695
大岗元，带天台，南北对流两房，过五年唯一,西湾路 ,西村,近地铁 VR房源 房本满五年,6,9个月以前发布,2室1厅,63平米,东南,简装,高楼层(共6层),,塔楼,1370000.0,21747
乐怡居少有的次新房，装修新保养好，大阳台视野无遮挡,乐怡居 ,花地湾,近地铁 VR房源 房本满五年 随时看房,6,29,2室1厅,66.87平米,东北,精装,中楼层(共31层),1998年,塔楼,1880000.0,28115
高层头排望公园 采光好景观好 楼距宽,金融街融穗华府 ,广钢新城,近地铁 VR看装修 房本满五年,3,9个月以前发布,3室2厅,92.07平米,东,精装,中楼层(共40层),2018年,板楼,4300000.0,46704
陈家祠世纪广场 高层 三房 证过五年 东北向,世纪广场 ,龙津,近地铁 VR房源 房本满五年,4,9个月以前发布,3室1厅,93.65平米,东北,其他,31层,1999年,塔楼,3900000.0,41645
中山七路 林业厅宿舍 电梯3房 通风对流 近陈家祠地铁,中山七路 ,龙津,近地铁 VR看装修 随时看房,1,2个月以前发布,3室1厅,83.99平米,东南,简装,低楼层(共9层),,板楼,2500000.0,29766
大型小区 精装修电梯三房 产权清晰 满五年 格局方正,金兰苑 ,汾水,VR看装修 房本满五年 随时看房,3,8个月以前发布,3室1厅,58.63平米,西南,精装,中楼层(共9层),2001年,塔楼,1520000.0,25926
大型小区 电梯大两房 低层单位 南北对流 双阳台,鸿图苑 ,汾水,近地铁 VR看装修 房本满五年 随时看房,2,3个月以前发布,2室1厅,76平米,南北,简装,低楼层(共9层),1995年,塔楼,1530000.0,20132
金湾明珠 东向两房 望江望花园 装修保养新,金湾明珠 ,大坦沙,近地铁 VR看装修 房本满五年,1,1个月以前发布,2室1厅,79.41平米,东,其他,中楼层(共40层),,塔楼,3100000.0,39038
金宇南向大两房，保养新净，自主家装，南北对流性好,金宇花园 ,东i,VR房源 房本满五年,2,1个月以前发布,2室1厅,69.9平米,南,精装,高楼层(共9层),1998年,塔楼,1390000.0,19886
看房方便，马赛克外墙，业主诚意卖,西湾苑 ,西村,近地铁 VR看装修 房本满五年 随时看房,1,3个月以前发布,2室1厅,88.26平米,东,简装,高楼层(共9层),1980年,塔楼,1690000.0,19148
文昌花园 东向无遮挡挑空复式双卫大四房 蒋光鼐,文昌花园 ,西关,近地铁 VR房源 房本满五年,5,一年前发布,4室2厅,147.26平米,东,精装,高楼层(共32层),2000年,塔楼,4390000.0,29812
林业厅单位楼，大院管理24小时安保，专梯专户南北对流,中山七路 ,龙津,近地铁 VR看装修 房本满五年,2,1个月以前发布,3室2厅,129.91平米,东南南,精装,低楼层(共9层),,塔楼,3550000.0,27327
小区环境好高档家电装修干净带省级西关,龙津商贸大厦 ,龙津,近地铁 VR看装修 房本满五年,21,一年前发布,1室1厅,32.54平米,东,精装,高楼层(共9层),2000年,塔楼,830000.0,25508
西村地铁口 大两房 楼层低 方正实用,西湾东路 ,西村,近地铁 VR看装修 房本满五年 随时看房,1,8个月以前发布,2室1厅,51.14平米,西,精装,低楼层(共9层),,塔楼,990000.0,19359
西外baobao荔湾路荔溪大院平层电梯三房带靓装即入住,荔湾路 ,陈家祠,近地铁 VR房源 房本满五年 随时看房,17,2个月以前发布,3室1厅,57.09平米,东南,精装,低楼层(共8层),1990年,塔楼,1430000.0,25049
保利东郡 通风采光好 业主诚心出，望花园泳池！！！,保利东郡 ,广钢新城,VR看装修,0,6个月以前发布,3室2厅,104.48平米,西北,精装,低楼层(共46层),,塔楼,4200000.0,40200
低密度次新小区  免重税 环境优美 刚需上车必看,力诚欣悦湾 ,茶,VR看装修 房本满两年,13,一年前发布,3室2厅,90.04平米,西北,精装,高楼层(共31层),2018年,塔楼,2680000.0,29765
精品三房两卫 三梯六户 满五唯一 低密度高品质小区,岭南湾畔 ,西村,近地铁 VR房源 房本满五年,27,一年前发布,3室2厅,102.01平米,南北,精装,中楼层(共32层),2010年,塔楼,5300000.0,51956
封闭式管理小区，电梯房 有平台 大三房 户型方正,桥东小区 ,蚩,近地铁 VR看装修 房本满五年 随时看房,1,7个月以前发布,3室1厅,88.02平米,东东北,简装,低楼层(共9层),1995年,塔楼,1880000.0,21359
加装电梯，全明三房厅出阳台，随时能看房,龙津东路 ,龙津,近地铁 VR看装修 房本满五年 随时看房,3,4个月以前发布,3室1厅,72.12平米,北西南,其他,中楼层(共8层),,塔楼,1950000.0,27039
荔湾南湾 间隔方正 安静舒适 西南向 装修保养好 单边,城启荔港南湾 ,南岸路,近地铁 VR看装修 房本满五年,3,2个月以前发布,3室2厅,98.57平米,东南,精装,低楼层(共28层),2008年,塔楼,3500000.0,35508
保利紫林香苑大两房 中楼层南向 装修保养新 拎包入住,保利紫林香苑 ,龙溪,VR看装修 房本满五年 随时看房,5,2个月以前发布,2室2厅,76.45平米,南,精装,中楼层(共18层),2015年,板楼,1950000.0,25507
