标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
东鹏花园一期 温馨小户型 满五年 产权清晰 中楼层,东鹏花园一期 ,坑口,VR房源 房本满五年 随时看房,2,一年前发布,1室0厅,28.41平米,东,简装,中楼层(共9层),塔楼,1997年,520000.0,18304
西华路 越秀方正一房带阳台 加装电梯使用中,西华路 ,西华路,近地铁 VR看装修 房本满五年,10,一年前发布,1室0厅,28.23平米,北,简装,中楼层(共9层),塔楼,1994年,890000.0,31527
荔湾区彩虹桥地铁站 中低楼层精装修,西华路 ,西华路,近地铁 VR看装修 房本满五年,1,7个月以前发布,1室1厅,28.91平米,南,其他,中楼层(共8层),塔楼,,880000.0,30440
华贵路独栋私房，生活环境好，交通便利,华贵路 ,龙津,近地铁 VR看装修 房本满五年,13,一年前发布,1室1厅,28.2平米,南,简装,低楼层(共3层),暂无数据,,890000.0,31561
东南向无遮挡，格局方正，小区干净封闭管理,芳雅苑 ,蚩,VR看装修 房本满两年 随时看房,2,8个月以前发布,1室1厅,27.15平米,南,简装,高楼层(共9层),塔楼,1995年,680000.0,25047
桃源社区 环境好 户型方正实用 通风采光好,桃源社区 ,龙津,近地铁 VR看装修 房本满五年,3,一年前发布,1室0厅,29.53平米,北,其他,中楼层(共9层),塔楼,1991年,880000.0,29801
满五唯一，近地铁，高楼层，视野开阔,鹤洞路 ,鹤洞,近地铁 VR看装修 房本满五年,0,11个月以前发布,1室1厅,27.49平米,南,其他,高楼层(共8层),塔楼,,780000.0,28374
交通便利，户型正，景观好，受欢迎,金道花园 ,鹤洞,近地铁 VR房源 房本满五年 随时看房,12,9个月以前发布,1室0厅,29.28平米,南,其他,中楼层(共9层),塔楼,2000年,700000.0,23908
此房满五不唯一，商品房，无重税 低楼层,宝源路 ,龙津,近地铁 VR看装修 房本满五年,0,一年前发布,4室1厅,99.42平米,南北,简装,中楼层(共4层),暂无数据,,2980000.0,29974
北大资源博雅1898  东南朝向实用4房 配套完善,北大资源博雅1898 ,广钢新城,近地铁 VR房源 房本满五年,63,一年前发布,4室2厅,94.23平米,南,精装,低楼层(共25层),塔楼,,4990000.0,52956
新净装修 南北对流 厅大房大 通风采光好,西关大厦 ,人民路,近地铁 VR看装修 房本满五年 随时看房,2,一年前发布,4室1厅,101.94平米,东,简装,低楼层(共20层),塔楼,1989年,2650000.0,25996
步梯高层一房一厅年轻人上车门槛低,龙津东路 ,龙津,近地铁 VR房源 房本满五年,6,11个月以前发布,1室1厅,29.45平米,南,其他,高楼层(共9层),塔楼,,750000.0,25467
流花湖旁，框架结构，户型方正，采光通风好，看房方便,站前横路 ,流花站前,VR看装修 房本满五年,17,一年前发布,1室1厅,26.19平米,西南,其他,高楼层(共9层),塔楼,,650000.0,24819
过五唯一 芳华苑 在建11号线旁 电梯房 新楼龄,芳华苑 ,芳村,VR看装修 房本满两年,22,一年前发布,1室1厅,28.8平米,东北,精装,高楼层(共9层),塔楼,1999年,720000.0,25000
近地铁 一房一厅 中间楼层 看房方便,中山七路 ,龙津,近地铁 VR房源 房本满五年,4,一年前发布,1室1厅,27.81平米,北,精装,中楼层(共9层),板楼,1990年,950000.0,34161
永庆坊景区 平层电梯 精装大4房 三代同堂,蓬莱路 ,黄沙,近地铁 VR看装修 房本满五年 随时看房,3,一年前发布,4室2厅,104.86平米,西北,精装,中楼层(共9层),塔楼,,3580000.0,34141
西门口地铁，细积上车盘、配套成熟,中山七路 ,龙津,近地铁 VR看装修 房本满五年 随时看房,1,8个月以前发布,1室0厅,26.61平米,西,精装,低楼层(共9层),塔楼,,800000.0,30064
东南朝向 三面单边 三个阳台 实用 业主自己装修过,逢源路 ,龙津,近地铁 VR房源 房本满五年,1,一年前发布,4室2厅,95.15平米,东南,精装,中楼层(共9层),塔楼,1991年,2980000.0,31319
桃源小区  微改造社区 光线好 业主急卖 合适即卖,桃源社区 ,龙津,近地铁 VR看装修 房本满五年,2,一年前发布,1室1厅,28.3平米,北,精装,高楼层(共8层),塔楼,1991年,805000.0,28446
中山七路 小户型  东南向 单间 上车盘,中山七路 ,龙津,近地铁 VR房源 房本满五年,0,一年前发布,1室0厅,26.06平米,东,简装,中楼层(共9层),塔楼,,880000.0,33769
中山七路隆庆社区  满五年唯一 陈家祠地铁站,中山七路 ,龙津,近地铁 VR看装修 房本满五年,7,一年前发布,1室0厅,25.39平米,东,其他,中楼层(共9层),板楼,1990年,759000.0,29894
沙涌新村 1室1厅 北,沙涌新村 ,鹤洞,近地铁 VR房源 房本满五年 随时看房,3,5个月以前发布,1室1厅,29.54平米,北,其他,高楼层(共7层),塔楼,,600000.0,20312
临江小区 封闭式管理 精装修复式两房 个人产权,万科海上传奇 ,芳村,近地铁 房本满两年,0,4个月以前发布,1室1厅,27.64平米,南,精装,低楼层(共17层),板塔结合,2016年,1000000.0,36180
满五年 西华路 精装修精装修低楼层,西华路 ,西华路,近地铁 VR看装修 房本满五年,2,一年前发布,1室1厅,27.8平米,东,其他,低楼层(共9层),塔楼,,840000.0,30216
【近沙面】【电梯四房】【居家精装修】【拎包入住】,西关大厦 ,人民路,近地铁 VR房源 房本满五年,11,一年前发布,4室2厅,101.48平米,南北,精装,中楼层(共20层),塔楼,1989年,2980000.0,29366
此房已满五，配套设施齐全，格局好，交通便利,流花路 ,流花站前,近地铁 VR看装修 房本满五年,2,3个月以前发布,1室0厅,27.09平米,南北,其他,高楼层(共9层),塔楼,,760000.0,28055
荔湾路 户型方正 上车盘 可公积金,幸福新村 ,周门,近地铁 VR房源 房本满五年,3,一年前发布,1室1厅,26.24平米,东南,其他,高楼层(共8层),塔楼,1990年,820000.0,31251
越秀精装一房近地铁旺中带静收租神器,西华路 ,西华路,近地铁 VR看装修 房本满五年,4,4个月以前发布,1室1厅,29.18平米,南,其他,低楼层(共9层),塔楼,1994年,960000.0,32900
电梯正在装，精装采光好、有阳台花园,芳华苑 ,芳村,VR看装修,3,6个月以前发布,1室1厅,25.23平米,南,精装,低楼层(共9层),塔楼,1999年,793000.0,31431
越秀司马街中楼层 户型方正实用 有钥匙方便看房,西华路 ,西华路,近地铁 VR看装修 房本满五年,1,7个月以前发布,1室1厅,26.09平米,东,其他,中楼层(共9层),塔楼,1994年,700000.0,26831
东鹏花园一期中楼层 满五年非唯一,东鹏花园一期 ,坑口,VR看装修 房本满五年,3,一年前发布,1室1厅,26.72平米,南,其他,高楼层(共8层),塔楼,1997年,630000.0,23578
周门示范社区 加装电梯 一房一厅 近一号线,周门小区周门街 ,周门,VR看装修 房本满五年,2,一年前发布,1室1厅,27.05平米,北,其他,低楼层(共9层),平房,1998年,1000000.0,36969
上车小户型，区府旁边环境安静，近地铁11号线石围塘站,芳雅苑 ,蚩,VR看装修 房本满两年 随时看房,2,一年前发布,1室1厅,27.05平米,东,精装,高楼层(共9层),塔楼,1995年,730000.0,26988
周门北路 小户型 加装电梯已筹备,周门小区周门北路 ,周门,近地铁 VR看装修 房本满五年,0,3个月以前发布,1室1厅,26.45平米,西北,其他,高楼层(共9层),塔楼,1998年,800000.0,30246
一证两套，一楼2房1厅，二楼2房1厅,宝华路(荔湾) ,西关,近地铁 VR看装修 房本满五年,50,一年前发布,4室2厅,102.25平米,东南,精装,2层,板楼,,2830000.0,27678
西关大厦 中层单位 间隔方正实用 产权清晰,西关大厦 ,人民路,近地铁 VR看装修 房本满两年,1,9个月以前发布,4室2厅,94.04平米,东南,其他,中楼层(共20层),塔楼,1989年,2780000.0,29562
周门北路 小户型 加装电梯已筹备,周门小区周门北路 ,周门,近地铁 VR看装修 房本满五年,0,3个月以前发布,1室1厅,26.45平米,西北,其他,高楼层(共9层),1998年,塔楼,800000.0,30246
一证两套，一楼2房1厅，二楼2房1厅,宝华路(荔湾) ,西关,近地铁 VR看装修 房本满五年,50,一年前发布,4室2厅,102.25平米,东南,精装,2层,,板楼,2830000.0,27678
"生活氛围好，楼龄新,条形砖外墙，低总*",春蕾苑 ,西关,VR看装修 房本满五年 随时看房,12,一年前发布,1室1厅,27.72平米,南,精装,9层,1999年,塔楼,800000.0,28861
满五唯一，近地铁，交通方便，户型方正,福盛花苑 ,广钢新城,近地铁 VR看装修 房本满五年 随时看房,0,11个月以前发布,1室1厅,27.76平米,南,其他,低楼层(共7层),1998年,塔楼,690000.0,24856
沙面旅游区 独栋私房 距离文化公园200米,十八甫南路 ,和平西,近地铁 VR看装修 随时看房,2,6个月以前发布,4室2厅,96.32平米,南西南,其他,低楼层(共3层),,板楼,2800000.0,29070
西门口 光复北路 低层一房一厅 住家装修保养新净,光复北路 ,龙津,近地铁 VR看装修 房本满五年,1,29,1室1厅,27.08平米,东南,精装,中楼层(共8层),,塔楼,780000.0,28804
芳村大道东11号线  低层单位,接龙里小区 ,芳村,近地铁 VR房源 房本满五年,1,一年前发布,1室1厅,26.53平米,南北,其他,低楼层(共7层),2005年,塔楼,760000.0,28647
嘉茗华庭 电梯小户型，上车精品,嘉茗华庭 ,芳村,近地铁 VR看装修 房本满五年,0,4个月以前发布,1室0厅,26.4平米,东北,其他,中楼层(共26层),2002年,塔楼,950000.0,35985
望珠江江景 精装修华润旺象城 1号线芳村站 视野开阔,万科海上传奇 ,芳村,近地铁 房本满两年,1,4个月以前发布,1室1厅,28.27平米,东北,其他,中楼层(共17层),2016年,板塔结合,880000.0,31129
桃源社区加装电梯正规一房一厅 总jia低,桃源社区 ,龙津,近地铁 VR看装修 房本满五年,5,7个月以前发布,1室1厅,27.68平米,南,简装,中楼层(共8层),1991年,塔楼,880000.0,31792
上下九商圈西关尚品电梯单位东北向装修新净,西关尚品 ,和平西,近地铁 房本满五年,10,9个月以前发布,1室0厅,26.69平米,东北,精装,低楼层(共18层),2001年,塔楼,330000.0,12365
南向四房，高层望江，视野宽阔，采光充足,辉洋苑 ,黄沙,近地铁 VR看装修,2,2个月以前发布,4室2厅,109.28平米,南,简装,高楼层(共30层),2001年,塔楼,3980000.0,36421
西华路 司马街 小户型 总*低 方正实用,西华路 ,西华路,近地铁 VR看装修 房本满五年,20,一年前发布,1室1厅,25.01平米,东,简装,高楼层(共9层),1994年,塔楼,578000.0,23111
骏业阁双地铁 高层大四房 带主套东向,骏业阁 ,西关,近地铁 VR看装修 房本满五年,17,一年前发布,4室2厅,106.73平米,东西,简装,高楼层(共25层),2008年,塔楼,3500000.0,32794
适合新婚夫妇 或 退休 工人 居住,西华路 ,西华路,近地铁 VR看装修 房本满两年,5,3个月以前发布,1室1厅,26.07平米,东北,简装,高楼层(共9层),,平房,780000.0,29920
【楼梯三楼】【全屋精装修 宽敞四房】【近8号地铁】,长寿东路 ,龙津,近地铁 VR房源 房本满五年,3,11个月以前发布,4室1厅,92.54平米,东南,精装,低楼层(共9层),1990年,平房,2200000.0,23774
证满五年 房改房 采光好 户型方正 11号线地铁站在建,接龙里小区 ,芳村,近地铁 VR房源 房本满五年,21,一年前发布,1室1厅,27.51平米,南北,简装,高楼层(共7层),2005年,塔楼,600000.0,21811
荔景华庭 装修新净 通风采光好 小区电梯楼 安静舒适,荔景华庭 ,和平西,近地铁 VR看装修 房本满五年,30,一年前发布,1室1厅,28.27平米,东,其他,中楼层(共15层),2011年,塔楼,1200000.0,42448
陈家祠 世纪广场小区 方正1房  乐贤坊 满五,世纪广场 ,龙津,近地铁 VR看装修 房本满五年,4,一年前发布,1室0厅,26.78平米,南,简装,10层,1997年,塔楼,880000.0,32861
西华路 方正一房一厅 安静格局方正 彩虹桥地铁站300米,西华路 ,西华路,近地铁 VR房源 房本满两年,6,6个月以前发布,1室1厅,27.56平米,北西,简装,高楼层(共6层),,塔楼,880000.0,31931
荔枝湾涌旁  马赛克外墙  一房带大阳台  通风光好,逢源路 ,龙津,近地铁 VR看装修 房本满五年,15,一年前发布,1室0厅,26.74平米,西,其他,高楼层(共9层),,塔楼,790000.0,29544
芳村白鹅潭 CBD 复式两层 有阳台,万科海上传奇 ,芳村,近地铁 房本满五年,1,一年前发布,1室1厅,27.84平米,南,精装,中楼层(共17层),2016年,板塔结合,950000.0,34124
惠城花园 楼梯中层小户型 单间上车盘 产权清晰,惠城花园 ,龙津,近地铁 VR看装修 房本满五年,0,一年前发布,1室0厅,26.87平米,东南,其他,低楼层(共24层),1996年,塔楼,890000.0,33123
西华路，旺中带静，交通便利，配套成熟,西华路 ,西华路,近地铁 VR看装修 房本满五年,3,5个月以前发布,1室1厅,27.97平米,南,简装,中楼层(共8层),1967年,塔楼,580000.0,20737
一线看江电梯平层立白旁地铁B口精装房,花地大道北 ,芳村,近地铁 VR房源 房本满五年 随时看房,4,一年前发布,1室2厅,27.48平米,南,精装,高楼层(共9层),1990年,塔楼,1090000.0,39666
南岸路实用小户型 通风采光好，首付低,南岸路 ,南岸路,近地铁 VR看装修 房本满两年,3,6个月以前发布,1室1厅,28.93平米,南,精装,高楼层(共9层),,塔楼,600000.0,20740
金宇花园，大型社区，加装电梯，走半层，低总入手,金宇花园 ,东i,VR看装修 房本满两年,2,3个月以前发布,1室1厅,29.51平米,南北,简装,中楼层(共9层),1998年,塔楼,670000.0,22705
马路边独栋前后通私房证面积93.96平方建基63平方,宝源路 ,龙津,近地铁 VR房源 房本满五年 随时看房,3,6个月以前发布,4室2厅,93.96平米,东南,其他,低楼层(共2层),,暂无数据,2980000.0,31716
海郡花园温馨4房，三开间望公园,保利碧桂园・公园大道 ,广钢新城,VR看装修 房本满两年,2,1个月以前发布,4室2厅,98平米,西北,精装,低楼层(共24层),,塔楼,4860000.0,49592
收租神器，交通便利，业主诚心，可商贷,金花小区 ,西华路,近地铁 VR看装修 房本满两年,2,5个月以前发布,1室0厅,28.25平米,西南,简装,中楼层(共9层),2003年,塔楼,620000.0,21947
桃源社区 正规一房一厅 交通生活便利 总jia抵,桃源社区 ,龙津,近地铁 VR房源 房本满两年,0,26,1室1厅,25.17平米,西南,其他,低楼层(共6层),塔楼,,930000.0,36949
珠岛花园 五期 四房二厅 间隔方正实用,珠岛花园 ,大坦沙,近地铁 VR看装修 房本满五年,2,4个月以前发布,4室2厅,108.7平米,东北,精装,低楼层(共24层),塔楼,1999年,3420000.0,31463
珠岛花园五期 东西对流四房 住家装修保养好,珠岛花园 ,大坦沙,近地铁 VR看装修 房本满五年,0,1个月以前发布,4室2厅,104.47平米,东西,精装,中楼层(共23层),塔楼,1999年,3350000.0,32067
荔湾湖旁  一证 两套两房一厅 精装修  读培正,龙津西路 ,西关,近地铁 VR房源 房本满五年 随时看房,11,一年前发布,4室2厅,95.8平米,东南西北,精装,中楼层(共4层),板楼,1990年,2780000.0,29019
首付不高 贷款方式不限 适合首付不多的小两口,金道花园 ,鹤洞,近地铁 VR房源 房本满两年,1,1个月以前发布,1室0厅,26.31平米,西南,精装,中楼层(共9层),塔楼,2000年,700000.0,26606
精装修，交通方便，上下分开独立,万科海上传奇 ,芳村,近地铁 房本满五年,3,8个月以前发布,1室1厅,28.78平米,东南,精装,低楼层(共17层),板塔结合,2016年,860000.0,29882
装修新净，位置很好，东向望花园,金道花园 ,鹤洞,近地铁 VR房源 房本满五年,2,1个月以前发布,1室1厅,29.19平米,东,其他,中楼层(共9层),塔楼,2000年,680000.0,23296
中山八路 大院管理低二楼 带南向阳台精装一房一厅,龙津西路 ,西关,近地铁 VR看装修 房本满两年,4,一年前发布,1室1厅,29.51平米,南北,精装,低楼层(共9层),塔楼,1985年,880000.0,29821
户型格局方正，南向无遮挡，采光好,金道花园 ,鹤洞,近地铁 VR房源 房本满五年,3,2个月以前发布,1室0厅,29.71平米,南,简装,高楼层(共9层),塔楼,2000年,600000.0,20196
交通便利    户型正景观好   准电梯刚需受欢迎,金道花园 ,鹤洞,近地铁 VR房源 房本满五年 随时看房,35,一年前发布,1室0厅,29.65平米,东,简装,高楼层(共9层),塔楼,2000年,860000.0,29006
环市西路   小面积  地铁口,西湾东路 ,西村,近地铁 VR看装修 房本满两年,4,8个月以前发布,1室1厅,27.04平米,东,简装,低楼层(共9层),塔楼,,680000.0,25148
电梯房首付不高 贷款方式不限 适合首付不多的小两口,金道花园 ,鹤洞,近地铁 VR房源 房本满五年,0,28,1室1厅,25.84平米,北,其他,低楼层(共9层),塔楼,1996年,680000.0,26316
文昌南路 低层南向 户型方正大单间,文昌南路 ,西关,VR房源,0,2个月以前发布,1室0厅,28.43平米,南,其他,中楼层(共9层),塔楼,,860000.0,30250
双地铁物业 南向小户型 满五唯一 有钥匙,金道花园 ,鹤洞,近地铁 VR房源 房本满五年 随时看房,9,一年前发布,1室0厅,28.44平米,南,简装,中楼层(共9层),塔楼,1998年,650000.0,22856
此房东北朝向，采光充足，小区环境清幽，小区配套成熟,金宇花园 ,东i,VR房源 房本满五年,0,9个月以前发布,1室1厅,28.98平米,西,其他,高楼层(共9层),塔楼,1998年,750000.0,25880
华贵路 低层小户型 光线好 实用高,华贵路 ,龙津,近地铁 VR房源 房本满五年,0,一年前发布,1室1厅,25.46平米,东南,简装,中楼层(共4层),板楼,,700000.0,27495
中山八路 一房一厅 精装修 出租中 租金2000元,中山八路 ,中山八,近地铁 VR房源 房本满五年 随时看房,1,10,1室1厅,26.54平米,南,精装,高楼层(共9层),塔楼,1998年,800000.0,30144
上九路前后通一楼 上车盘 老人小孩都便利,上九路 ,人民路,近地铁 VR看装修 房本满五年 随时看房,1,9个月以前发布,1室1厅,32.67平米,南,其他,低楼层(共1层),板楼,,950000.0,29079
翠岛居 精致靓向 方正一房 预约睇楼,翠岛居 ,大坦沙,近地铁 VR房源 房本满五年,0,8个月以前发布,1室1厅,32.08平米,南北,简装,中楼层(共9层),塔楼,,759000.0,23660
珠岛花园  复式  保养新净  江边住宅  环境优美,珠岛花园 ,大坦沙,近地铁 VR房源 房本满五年,2,一年前发布,4室2厅,141.33平米,南,精装,低楼层(共9层),板塔结合,1995年,4850000.0,34317
黄沙小户型珠玑路1房南向采光好,珠玑路 ,和平西,近地铁 VR看装修 房本满两年,5,5个月以前发布,1室0厅,24.59平米,东南,其他,中楼层(共5层),板楼,,580000.0,23587
十三甫路 光线好空气好 街道宽阔整洁,十三甫路 ,和平西,近地铁 VR看装修,0,1个月以前发布,1室1厅,37平米,南西南,其他,中楼层(共5层),板楼,,1000000.0,27028
di总jia电梯房！上车手选！永庆坊，黄沙双地铁,蓬莱路 ,黄沙,近地铁 VR看装修 房本满五年,0,一年前发布,1室0厅,23.84平米,南,简装,高楼层(共9层),塔楼,,960000.0,40269
黄沙大道1楼，大院管理，门口独立花园使用,黄沙大道 ,黄沙,近地铁 VR看装修 房本满五年,1,11个月以前发布,1室1厅,34.95平米,东南,精装,低楼层(共8层),塔楼,1994年,990000.0,28327
上下九商圈户型方正东向一房一厅,十八甫北路 ,和平西,近地铁 VR房源 房本满五年,3,一年前发布,1室1厅,36.81平米,东,简装,低楼层(共7层),塔楼,1991年,900000.0,24450
小户型2  房出行购物便利满五,光复南路 ,人民路,近地铁 VR看装修 房本满五年,0,4个月以前发布,1室0厅,31.81平米,南,其他,低楼层(共6层),板楼,,680000.0,21377
文昌花园大单间 有阳台，看房方便,文昌花园 ,西关,近地铁 VR看装修 房本满五年,30,一年前发布,1室0厅,18.98平米,西,简装,中楼层(共32层),塔楼,2000年,820000.0,43204
文昌花园 近地铁100米，精装修，产权清晰，满五年,文昌花园 ,西关,近地铁 VR房源 房本满五年,1,9个月以前发布,4室2厅,139.21平米,西,精装,高楼层(共32层),塔楼,2000年,4680000.0,33619
【沙面旁电梯】【四房三阳台两卫】【东南单边无遮挡】,和乐大厦 ,人民路,近地铁 VR看装修 房本满五年,12,一年前发布,4室2厅,161.74平米,东南南,其他,中楼层(共18层),塔楼,2000年,4760000.0,29430
集富大厦西关尚品，有电梯配置，市区地带,西关尚品 ,和平西,近地铁 房本满五年 随时看房,8,一年前发布,1室0厅,37.73平米,北,精装,中楼层(共18层),塔楼,2001年,550000.0,14578
集富大厦西关尚品 高品质高配置 有电梯,西关尚品 ,和平西,近地铁 房本满五年,12,一年前发布,1室0厅,35.95平米,东,其他,低楼层(共18层),2001年,塔楼,520000.0,14465
上下九商圈！电梯平层！一房户型方正！,十八甫北路 ,和平西,近地铁 VR看装修 房本满五年 随时看房,2,一年前发布,1室1厅,30.71平米,东,简装,高楼层(共7层),1991年,塔楼,760000.0,24748
此房税费1三面采光全明屋低层新装修,光复南路 ,人民路,近地铁 VR看装修 房本满五年 随时看房,10,8个月以前发布,1室1厅,31.12平米,东西,精装,中楼层(共8层),1990年,塔楼,680000.0,21851
十三行路大院管理 楼龄新净 证满五 交通方便,十三行路 ,人民路,近地铁 VR看装修 房本满五年,10,一年前发布,1室1厅,42.92平米,南西北,简装,高楼层(共9层),,塔楼,950000.0,22135
1/6号线双地铁黄沙站！5石米外墙可公积金！,蓬莱路 ,黄沙,近地铁 VR看装修 房本满五年,1,一年前发布,1室1厅,31.3平米,南,其他,高楼层(共7层),,暂无数据,990000.0,31630
满五年唯一，大院管理有停车位，有位置加装电梯,黄沙大道 ,黄沙,近地铁 VR看装修 房本满五年,3,一年前发布,1室1厅,31平米,南,精装,高楼层(共8层),1994年,塔楼,850000.0,27420
文昌南路 一楼可临商 做了复式阁楼 看房方便,文昌南路 ,西关,VR看装修 房本满五年,5,10个月以前发布,1室1厅,34.47平米,西,其他,低楼层(共2层),,暂无数据,940000.0,27271
蓬莱路，独栋私房，小户型，小面积,蓬莱路 ,黄沙,近地铁 VR看装修 房本满五年 随时看房,12,一年前发布,1室0厅,13.67平米,北,简装,低楼层(共1层),,暂无数据,560000.0,40966
交通便利 配套设施好 小户性格局好 满五,和平西路 ,西关,近地铁 VR看装修 房本满五年 随时看房,3,一年前发布,1室1厅,35.51平米,南,简装,高楼层(共6层),,塔楼,860000.0,24219
上下九商圈西关尚品中层电梯精品户型,西关尚品 ,和平西,近地铁 房本满两年,3,一年前发布,1室0厅,37.97平米,西北,精装,中楼层(共18层),2001年,塔楼,560000.0,14749
黄沙大道，大院管理，沙面 间隔方正,黄沙大道 ,黄沙,近地铁 VR看装修 房本满两年,1,一年前发布,1室1厅,36.07平米,东北,其他,中楼层(共8层),1994年,塔楼,900000.0,24952
此房满五唯一，马赛克外墙，交通便利，,十八甫北路 ,和平西,VR看装修 房本满五年 随时看房,3,一年前发布,1室1厅,32.54平米,北,其他,高楼层(共10层),1991年,塔楼,720000.0,22127
杨巷路低层 东西对流 户型方正实用 框架 可用公积金,杨巷路 ,人民路,近地铁 VR看装修 房本满五年 随时看房,0,25,1室0厅,32.48平米,东西,其他,中楼层(共7层),,板楼,800000.0,24631
大院管理 低层 旺中带静 全明新净,第十甫路 ,西关,近地铁 VR看装修 房本满五年 随时看房,3,5个月以前发布,1室1厅,39.76平米,东南,精装,低楼层(共6层),,塔楼,950000.0,23894
BAI年一遇笋，上车盘，华林寺商圈,长寿东路 ,龙津,近地铁 VR房源 房本满五年 随时看房,2,10个月以前发布,1室1厅,30.66平米,北,简装,高楼层(共8层),,暂无数据,600000.0,19570
低楼层，低总*，老城区的交通生活配套，上车盘，,杉木栏路 ,和平西,近地铁 VR看装修 房本满五年 随时看房,10,6个月以前发布,1室1厅,36.04平米,东,简装,低楼层(共3层),,暂无数据,680000.0,18868
光复南路 优质小区盘 诚心放卖,光复南路 ,人民路,近地铁 VR看装修 房本满五年,0,6个月以前发布,1室1厅,33.69平米,东西,其他,高楼层(共6层),,暂无数据,950000.0,28199
中层单位 有阳台 单边位 通风采光好 过五年唯一,桨栏路 ,人民路,近地铁 VR看装修,0,13,1室1厅,35.34平米,东北,简装,中楼层(共8层),,暂无数据,880000.0,24901
逢源路 低层一房 近长寿路地铁 配套完善 看房方便,逢源路 ,龙津,近地铁 VR看装修 房本满两年,0,1个月以前发布,1室1厅,37.26平米,北,其他,低楼层(共9层),1991年,塔楼,980000.0,26302
电梯 小区管理 配套成熟 交通方便,骏业阁 ,西关,近地铁 VR看装修 房本满两年,132,一年前发布,1室1厅,39.4平米,东,精装,低楼层(共27层),,塔楼,920000.0,23351
永庆坊商圈，小私房，地跌站500米，无占用,恩宁路 ,黄沙,近地铁 VR房源 房本满五年,7,一年前发布,1室1厅,13.83平米,西南,精装,低楼层(共1层),,暂无数据,720000.0,52061
方正一房一厅三面单边近公园地铁,杉木栏路 ,和平西,近地铁 VR看装修 房本满五年 随时看房,5,一年前发布,1室1厅,42.59平米,南北,其他,高楼层(共6层),,塔楼,800000.0,18784
荔枝湾旁，一楼小户型，框架结构,恩宁路 ,黄沙,近地铁 VR看装修 房本满五年,2,10个月以前发布,1室0厅,33.35平米,东南,其他,低楼层(共4层),,暂无数据,780000.0,23389
房子光线好 通透 距离地铁近 生活配套成熟,杉木栏路 ,和平西,近地铁 VR看装修 房本满两年,1,一年前发布,1室1厅,39.45平米,南,其他,中楼层(共6层),,塔楼,900000.0,22814
六二三路 底层三楼  沙面公园 文化公园,六二三路 ,和平西,近地铁 VR房源 房本满五年,5,5个月以前发布,1室1厅,34.96平米,东西,其他,中楼层(共4层),,板楼,750000.0,21454
此房过五年，新装修隔局方正，小区管理 ，通风采光好,文昌花园 ,西关,近地铁 VR房源 房本满五年,2,3个月以前发布,4室1厅,133.21平米,西西南,精装,高楼层(共32层),2000年,塔楼,4990000.0,37460
独栋私房带天台 近沙面岛 交通便捷,十八甫南路 ,和平西,近地铁 VR房源 房本满五年,6,一年前发布,1室1厅,31.87平米,西,其他,低楼层(共3层),,暂无数据,1000000.0,31378
文昌南路 双地铁 中层通风采光好 楼道新 旺中带静,文昌南路 ,西关,近地铁 VR看装修 房本满五年,2,一年前发布,1室1厅,30.48平米,东南,其他,中楼层(共9层),1988年,塔楼,870000.0,28544
